,reasoningCycle,perceive,buf,checkMail,selectEvent,relevantPlans,applicablePlans,selectOption,applyFindOp,selectAction,applyExecInt,deliberate,sense,act
1,295585,247104,922,30,-1,-1,-1,-1,-1,-1,-1,-1,295510,-1
2,303923,250902,1095,34,-1,-1,-1,-1,-1,-1,416,3098,299531,507
3,403716,289785,4627,70,1672,1283,35798,63,-1,7,11318,47711,342168,13022
4,411906,295868,5223,72,1680,1518,36074,69,-1,7,11574,48912,348873,13303
5,417456,300703,5423,75,1680,1518,36074,69,-1,7,11751,49199,353930,13505
6,426732,304778,5616,78,1694,1988,38321,87,-1,7,13248,52573,358224,15111
7,433061,308982,5810,81,1694,1988,38321,87,-1,7,14155,53530,362647,16056
8,1656357,310820,6101,84,1694,1988,38321,87,-1,7,1234913,53882,364791,1236854
9,1663350,312915,6292,87,1694,1988,38321,87,-1,7,1239262,54196,367093,1241229
10,1668468,314776,6525,90,1694,1988,38321,87,-1,7,1240204,56222,369211,1242202
11,1673707,318638,7011,95,1694,1988,38321,87,-1,7,1240538,56692,373593,1242585
12,1680598,321979,7246,98,1701,2143,40037,93,-1,7,1241077,59395,377194,1243169
13,313392,254909,1266,37,28,422,2837,21,-1,-1,1363,7338,303736,1526
14,1690159,327729,7633,103,1701,2143,40037,93,-1,7,1241864,61946,383364,1244005
15,1697137,333470,7918,107,1701,2143,40037,93,-1,7,1242071,62624,389418,1244249
16,1707601,336508,8356,121,1711,2365,45495,103,-1,7,1242667,68947,392938,1244867
17,1712145,339214,8965,124,1711,2365,45495,103,-1,7,1242712,69692,396272,1245329
18,1725466,342050,9175,128,1721,2519,54523,103,-1,10,1243191,79350,399343,1245918
19,1732099,347718,9323,131,1721,2519,54523,103,-1,10,1243374,79929,405182,1246131
20,1738413,350885,9535,135,1729,2672,55906,112,-1,10,1244013,82172,408589,1246792
21,1743506,354044,10487,139,1729,2672,55906,112,-1,10,1244064,82626,412722,1247296
22,1753425,356543,10650,142,1740,2798,61868,112,-1,13,1244407,89433,415404,1247724
23,1759861,361932,11027,148,1740,2798,61868,112,-1,13,1244564,89890,421199,1247906
24,318946,259054,1438,40,28,422,2837,21,-1,-1,2198,7668,308078,2404
25,1767755,365658,11198,151,1748,2968,64146,122,-1,13,1245105,93293,425118,1248473
26,1774631,370914,11921,155,1748,2968,64146,122,-1,13,1245153,93740,431117,1248900
27,1780092,374618,12303,165,1748,2968,64146,122,-1,18,1245765,94322,435240,1249652
28,1785332,378614,12469,168,1748,2968,64146,122,-1,18,1245894,95223,439423,1249805
29,1795709,382933,12642,171,1756,3147,67022,131,-1,18,1246421,100536,443936,1250354
30,1801269,386737,13455,176,1756,3147,67022,131,-1,18,1246473,101021,448576,1250786
31,1818438,389814,13605,179,1770,3362,79222,131,-1,21,1246987,114304,451826,1251418
32,1823269,393765,13770,181,1770,3362,79222,131,-1,21,1247155,114795,455968,1251613
33,1838302,396951,14038,185,1778,3538,89376,140,-1,21,1247694,125781,459451,1252175
34,1843211,400207,14606,188,1778,3538,89376,140,-1,21,1247757,126319,463296,1252698
35,327491,265692,1864,46,28,422,2837,21,-1,-1,2356,8928,315176,2588
36,1866253,404037,15028,194,1789,3723,101670,140,-1,25,1248351,144345,467580,1253427
37,1872784,409076,15337,197,1789,3723,101670,140,-1,25,1248474,145350,472956,1253573
38,1888567,413088,15761,201,1810,4047,111309,149,-1,25,1249022,156097,477417,1254145
39,1894586,417189,16322,205,1810,4047,111309,149,-1,25,1249080,156959,482102,1254613
40,1907477,420710,16550,209,1820,4202,119162,149,-1,28,1249502,165547,485879,1255136
41,1910863,422987,16717,214,1820,4202,119162,149,-1,28,1249666,166267,488348,1255330
42,1920381,425176,16916,218,1829,4358,124838,159,-1,28,1250249,172764,490760,1255936
43,1924885,427527,17509,221,1829,4358,124838,159,-1,28,1250305,173817,493722,1256424
44,1935791,429590,17686,224,1837,4502,132402,159,-1,30,1250605,182084,495982,1256800
45,1938959,431783,17919,227,1837,4502,132402,159,-1,30,1250726,182658,498426,1256946
46,344731,270134,2454,49,34,639,13304,57,-1,-1,2979,20459,320231,3240
47,1952749,435467,18071,230,1845,4647,140986,169,-1,30,1251238,192060,502279,1257480
48,1957362,437889,18760,233,1845,4647,140986,169,-1,30,1251287,193157,505410,1257865
49,1979156,440500,18927,236,3445,4840,156349,169,-1,34,1251757,211583,508206,1258435
50,1983454,443781,19210,240,3445,4840,156349,169,-1,34,1251881,212144,511794,1258582
51,1994442,446514,19367,243,3453,5132,162520,180,-1,34,1252567,219502,514706,1259297
52,1999219,449807,19743,246,3453,5132,162520,180,-1,34,1252622,220187,518396,1259696
53,2003561,452465,20050,252,3453,5132,162520,180,-1,39,1253190,220816,521397,1260402
54,2010532,457028,20251,256,3453,5132,162520,180,-1,39,1253341,222806,526188,1260589
55,2020021,460322,20572,263,3464,5344,166531,188,-1,39,1253939,228025,529834,1261210
56,357202,274747,3674,53,34,639,13304,57,-1,-1,8131,20731,326084,9583
57,387888,279065,3879,56,1665,1177,35798,63,-1,7,8601,46244,330630,10207
58,392674,282378,4095,59,1672,1283,35798,63,-1,7,8911,47133,334179,10552
59,398489,285481,4325,62,1672,1283,35798,63,-1,7,11071,47403,337532,12742
