Topic,Data,TimeStamp
actions,move(right),2021-07-13 15:37:31.014091
actions,move(left),2021-07-13 15:38:14.722788
actions,move(up),2021-07-13 15:38:24.025357
actions,move(up),2021-07-13 15:38:34.019989
actions,move(up),2021-07-13 15:38:43.508235
actions,move(right),2021-07-13 15:38:53.353435
actions,move(right),2021-07-13 15:39:43.946623
actions,move(down),2021-07-13 15:39:53.731800
actions,move(right),2021-07-13 15:40:04.055949
actions,move(down),2021-07-13 15:40:14.436723
actions,move(down),2021-07-13 15:40:23.739653
