Topic,Data,TimeStamp
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:44.351793
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:44.851451
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:45.351342
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:45.851336
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:46.351381
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:46.851224
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:47.351547
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:47.851893
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:48.351905
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:48.851875
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:49.351917
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:49.852279
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:50.351985
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:50.850816
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:51.351807
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:51.851414
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:52.351652
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:52.851867
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:53.351392
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:53.852119
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:54.351906
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:54.852008
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:55.351909
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:55.851372
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:56.351486
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:56.851376
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:57.351974
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:57.851355
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:58.351398
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:58.851366
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:59.351894
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:36:59.851691
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:00.351775
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:00.851369
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:01.351272
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:01.851520
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:02.351477
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:02.851723
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:03.351316
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:03.851317
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:04.351764
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:04.851445
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:05.351061
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:05.851948
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:06.351488
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:06.851416
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:07.351351
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:07.851632
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:08.352098
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:08.851403
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:09.351687
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:09.851527
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:10.351585
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:10.851504
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:11.351634
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:11.851493
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:12.351639
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:12.851590
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:13.351667
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:13.851880
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:14.351886
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:14.851733
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:15.352199
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:15.852201
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:16.352207
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:16.851979
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:17.351690
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:17.851736
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:18.351842
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:18.851778
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:19.352255
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:19.852275
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:20.351917
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:20.852281
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:21.351874
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:21.852124
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:22.351742
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:22.851846
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:23.352103
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:23.851820
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:24.351998
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:24.851802
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:25.351752
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:25.851993
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:26.352053
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:26.852160
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:27.351649
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:27.852271
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:28.352208
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:28.852230
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:29.351730
perceptions,"position(0, 3) map(right) obstacle(left) obstacle(down) map(up) ",2021-07-13 15:37:29.851739
