,reasoningCycle,perceive,buf,checkMail,selectEvent,relevantPlans,applicablePlans,selectOption,applyFindOp,selectAction,applyExecInt,deliberate,sense,act
1,982416,-1,-1,-1,-1,-1,-1,-1,-1,-1,3174,-1,979077,3296
2,4515600,18332,18024,70,-1,-1,-1,-1,-1,-1,3457518,9237,1015991,3458389
3,4956743,63464,78237,332,383,5124,199298,486,-1,63,3554479,234459,1122859,3567231
4,5214810,71448,86680,360,24209,7325,410431,534,-1,63,3555616,474575,1139450,3568570
5,5460859,78206,94893,386,24253,9128,630456,582,-1,63,3560211,700592,1154584,3573446
6,5480243,83569,100642,413,24297,9700,630456,582,-1,63,3565434,702912,1165920,3579154
7,5506171,88706,106476,440,24297,9700,630456,582,-1,63,3578376,704410,1177099,3592384
8,5520399,93071,113071,467,24297,9700,630456,582,-1,63,3579844,705818,1188224,3594056
9,5542695,98893,119009,493,24341,11561,632810,627,-1,63,3582638,713118,1200151,3597103
10,5567554,112232,127376,533,24341,11561,632810,627,-1,63,3583633,714539,1222374,3598297
11,5614448,125226,133013,576,24385,13969,649593,699,-1,63,3589401,736549,1241197,3604330
12,5636445,130277,141405,605,24385,13969,649593,699,-1,63,3596004,738030,1254805,3611216
13,4559717,26747,22397,113,-1,-1,-1,-1,-1,-1,3486130,11353,1028960,3487374
14,18075006,174610,207224,633,24385,13969,649593,699,-1,63,15922282,739687,1365118,15937787
15,18157249,184111,222384,909,24385,13969,649593,699,-1,63,15975438,743401,1390194,15991220
16,18191764,192328,233547,937,24385,13969,649593,699,-1,63,15988461,745043,1409745,16004520
17,18218460,202636,246511,964,24385,13969,649593,699,-1,63,15989449,747109,1433171,16005705
18,18281541,210020,257919,996,24428,15988,683240,745,-1,63,15994443,785747,1452130,16011170
19,18312580,219819,271186,1037,24428,15988,683240,745,-1,63,15999835,787861,1475369,16016837
20,18338049,228666,284174,1343,24428,15988,683240,745,-1,63,16000838,789703,1497770,16018040
21,18531693,244897,298170,1371,24474,17729,834855,818,-1,63,16006574,946933,1528161,16024041
22,18559802,255846,309685,1408,24474,17729,834855,818,-1,63,16006937,948987,1550803,16027432
23,18592146,264606,324829,1436,24474,17729,834855,818,-1,84,16012325,951017,1574863,16033664
24,4591136,31902,28813,139,-1,-1,-1,-1,-1,-1,3502650,14217,1040693,3504176
25,18731379,272195,334575,1464,24535,18778,951875,818,-1,84,16013287,1071372,1592573,16034812
26,18781949,280821,341506,1511,24577,20609,975360,886,-1,84,16018808,1100392,1608317,16040596
27,18809194,288379,350159,1556,24577,20609,975360,886,-1,84,16019170,1107913,1624715,16043899
28,18840697,295658,365921,1612,24577,20609,975360,886,-1,104,16024563,1109946,1647938,16050123
29,18987067,303793,376858,1645,24623,21681,1097197,886,-1,104,16025531,1235912,1667171,16051274
30,19057109,315445,387286,1686,24665,23404,1133984,957,-1,104,16030752,1278182,1689438,16056757
31,19087856,325110,401823,1736,24665,23404,1133984,957,-1,104,16031110,1280572,1714476,16060053
32,19116769,333421,413961,1763,24665,23404,1133984,957,-1,124,16036394,1282743,1735083,16066162
33,19138270,342302,422867,1791,24665,23404,1133984,957,-1,124,16037450,1285005,1753037,16067418
34,19239743,353067,433586,1826,24710,25159,1202046,1028,-1,124,16042966,1359019,1774692,16073203
35,4602526,35372,33072,172,-1,-1,-1,-1,-1,-1,3504817,15325,1048589,3506541
36,19269502,364799,443856,1853,24710,25159,1202046,1028,-1,124,16043328,1363135,1796857,16076660
37,19305617,377079,458328,1880,24710,25159,1202046,1028,-1,144,16048971,1365844,1823761,16083140
38,19464036,390014,466749,1907,24755,26254,1333448,1028,-1,144,16050075,1501423,1845287,16084431
39,19669930,401326,475660,1947,24798,28031,1507677,1098,-1,144,16055651,1681053,1865691,16090272
40,19695778,410588,485380,2018,24798,28031,1507677,1098,-1,144,16056013,1684202,1884910,16093732
41,19727895,418427,500001,2048,24798,28031,1507677,1098,-1,165,16061502,1687215,1907522,16100203
42,19926631,426747,511748,2095,24842,29111,1680268,1144,-1,165,16062428,1864523,1927825,16101308
43,20148360,434749,525780,2128,24885,31018,1869392,1215,-1,165,16065732,2060209,1950280,16104877
44,20175788,442896,535627,2154,24927,31631,1869392,1215,-1,165,16070973,2063961,1968433,16110380
45,20195273,449578,544418,2181,24927,31631,1869392,1215,-1,165,16071566,2066923,1984068,16111245
46,4662765,39078,40256,199,339,3187,35869,221,-1,-1,3510431,58082,1059642,3512949
47,20220085,457552,555581,2249,24927,31631,1869392,1215,-1,165,16072846,2070854,2003447,16112723
48,20273106,472527,578471,2276,24994,33213,1871404,1258,-1,165,16075248,2083110,2041500,16115415
