Topic,Data,TimeStamp
actions,move(right),2021-07-12 11:39:54.456765
actions,move(left),2021-07-12 11:40:02.956285
actions,move(up),2021-07-12 11:40:04.951909
actions,move(up),2021-07-12 11:40:06.959523
actions,move(up),2021-07-12 11:40:08.956298
actions,move(right),2021-07-12 11:40:10.955351
actions,move(right),2021-07-12 11:40:12.953010
actions,move(down),2021-07-12 11:40:14.955235
actions,move(right),2021-07-12 11:40:16.955566
actions,move(down),2021-07-12 11:40:18.952278
actions,move(down),2021-07-12 11:40:20.951676
