Topic,Data,TimeStamp
actions,move(right),2021-07-12 11:26:41.942857
actions,move(left),2021-07-12 11:27:20.188674
actions,move(up),2021-07-12 11:27:27.918280
actions,move(up),2021-07-12 11:27:36.379199
actions,move(up),2021-07-12 11:27:44.604390
actions,move(right),2021-07-12 11:28:30.957931
actions,move(right),2021-07-12 11:28:39.547175
actions,move(down),2021-07-12 11:28:48.201224
actions,move(right),2021-07-12 11:28:57.190629
actions,move(down),2021-07-12 11:29:06.242024
actions,move(down),2021-07-12 11:29:14.538352
