Topic,Data,TimeStamp
actions,steering(0.0065133466654607635),2021-07-13 13:24:19.671000
actions,setSpeed(8),2021-07-13 13:24:20.904000
actions,steering(5.485394294269271E-4),2021-07-13 13:24:21.773000
actions,steering(0.6121087528791952),2021-07-13 13:24:23.391000
actions,steering(-0.37060681272394747),2021-07-13 13:24:24.940000
actions,steering(-0.12228219074374538),2021-07-13 13:24:26.281000
actions,steering(-0.09757520426504808),2021-07-13 13:24:27.683000
actions,steering(-0.3),2021-07-13 13:24:28.291000
actions,steering(-1),2021-07-13 13:24:29.590000
actions,steering(-0.3),2021-07-13 13:24:30.650000
actions,steering(-0.3),2021-07-13 13:24:31.386000
actions,steering(-0.3),2021-07-13 13:24:32.043000
actions,steering(-0.3288461563799504),2021-07-13 13:24:32.502000
actions,steering(-0.3),2021-07-13 13:24:33.286000
actions,steering(-0.5822160066596619),2021-07-13 13:24:34.813000
actions,steering(0.4434871064131312),2021-07-13 13:24:36.525000
actions,steering(0.06834626660675432),2021-07-13 13:24:38.361000
actions,steering(-0.3),2021-07-13 13:24:38.894000
actions,steering(-0.3),2021-07-13 13:24:39.410000
actions,steering(-0.3),2021-07-13 13:24:39.962000
actions,steering(-0.3),2021-07-13 13:24:40.511000
actions,steering(-0.7737412200087228),2021-07-13 13:24:42.405000
