Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post3),0)>",2021-07-13 13:24:18.024000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-07-13 13:24:18.176000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2),op(drive,post5),op(drive,post3)],234.1973965273919),post3,0)>",2021-07-13 13:24:18.621000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:24:19.220000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.0065133466654607635),bearing(0.35408532080293753))>",2021-07-13 13:24:19.877000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-07-13 13:24:20.276000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:24:21.350000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(5.485394294269271E-4),bearing(0.3541007140068473))>",2021-07-13 13:24:21.991000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:24:22.448000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:24:22.924000
outbox,"<mid11,0,tell,BROADCAST,lkaSteer(steering(0.6121087528791952),bearing(0.35658349266799405))>",2021-07-13 13:24:23.640000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:24:24.081000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:24:24.553000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering((-0.37060681272394747)),bearing(0.12822962612972333))>",2021-07-13 13:24:25.121000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:24:25.507000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:24:25.907000
