Topic,Data,TimeStamp
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.5168883575) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2897014618)",2021-07-13 13:24:09.996000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.86754721779) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.6091194153)",2021-07-13 13:24:10.068000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.31851397925) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.6091194153)",2021-07-13 13:24:10.146000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-9.64526056916) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.744512558)",2021-07-13 13:24:10.216000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.32667778782) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0732097626)",2021-07-13 13:24:10.282000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.98626633574) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0732097626)",2021-07-13 13:24:10.353000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.32614847458) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.3022928238)",2021-07-13 13:24:10.422000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.04879800744) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.3022928238)",2021-07-13 13:24:10.492000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.94091574636) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0446834564)",2021-07-13 13:24:10.558000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.77124444506) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.8801860809)",2021-07-13 13:24:10.633000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.98855118119) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.8801860809)",2021-07-13 13:24:10.699000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.77040718942) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9459486008)",2021-07-13 13:24:10.770000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.72546968394) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(62.5670642853)",2021-07-13 13:24:10.833000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-9.662682756) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(62.5670642853)",2021-07-13 13:24:10.900000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.38408859549) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.8219127655)",2021-07-13 13:24:10.969000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.37344752402) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.8219127655)",2021-07-13 13:24:11.034000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.86826749962) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.2379765511)",2021-07-13 13:24:11.105000
