,reasoningCycle,perceive,buf,checkMail,selectEvent,relevantPlans,applicablePlans,selectOption,applyFindOp,selectAction,applyExecInt,deliberate,sense,act
1,350764,241626,41419,100,5746,2293,960,-1,-1,-1,-1,10909,335961,2011
2,367647,250802,47437,104,5746,2293,960,-1,-1,-1,-1,12424,351240,2065
3,490001,344406,65986,150,7738,4727,1507,-1,-1,-1,-1,22233,463636,2172
4,2080239,1033402,375422,950,35901,26978,288767,305,-1,29,123645,474933,1467078,135967
5,2088442,1035927,378221,956,35909,27235,289086,314,-1,29,124397,476965,1472438,136774
6,2119352,1061206,382113,963,35909,27235,289086,314,-1,29,124539,478493,1501648,136942
7,2154126,1065542,386472,971,36563,27635,311493,326,-1,29,125126,503910,1510383,137561
8,2169981,1077014,389070,975,36570,27783,311546,326,-1,29,125257,505508,1524481,137716
9,2187158,1080630,393438,982,36579,28105,318636,334,-1,29,125281,514206,1532496,138178
10,2196482,1084671,396226,989,36579,28105,318636,334,-1,31,126109,515688,1539358,139155
11,2205556,1088215,399307,996,36855,28331,318698,334,-1,31,126235,517952,1546015,139303
12,2227936,1101884,403770,1002,37879,28770,319005,342,-1,31,127016,521330,1564178,140139
13,2237451,1106183,406599,1013,38072,28994,319066,342,-1,31,127139,523535,1571342,140282
14,496969,348483,68104,155,7747,4954,1553,-1,-1,-1,-1,22965,469855,2185
15,2269254,1111046,410626,1019,38784,29386,338928,350,-1,31,127623,545885,1580282,140792
16,2278343,1113671,414867,1025,38965,29569,338990,350,-1,31,127814,547861,1587178,141005
17,2309463,1126783,419109,1030,39950,29984,349461,360,-1,31,127849,560983,1604594,141580
18,2318916,1129468,422467,1036,40488,30386,349576,360,-1,32,128607,563490,1610673,142443
19,2328345,1134587,424859,1040,40752,30591,349635,360,-1,32,128708,565260,1618209,142563
20,2346392,1145654,427970,1046,41932,30992,349933,369,-1,32,129432,568312,1632423,143342
21,2356089,1149258,431483,1052,42261,31225,349999,369,-1,32,129572,570692,1639576,143502
22,2403541,1162250,436131,1061,43104,31543,376432,381,-1,32,130139,599871,1657247,144100
23,2413260,1165058,440174,1068,43530,31933,376515,381,-1,32,130262,602556,1664134,144243
24,2457591,1191492,444426,1076,44114,32485,386809,390,-1,32,130298,615753,1694852,144657
