Topic,Data,TimeStamp
actions,steering(0.012764157708744969),2021-07-13 13:42:12.882000
actions,setSpeed(8),2021-07-13 13:42:13.314000
actions,steering(-0.0016709201159638611),2021-07-13 13:42:13.600000
actions,steering(-0.0012849418687727117),2021-07-13 13:42:14.084000
actions,steering(0.6765527027027044),2021-07-13 13:42:14.581000
actions,steering(0.3108468765682305),2021-07-13 13:42:15.082000
actions,steering(0.001958785786175409),2021-07-13 13:42:15.595000
actions,steering(-0.22601990838893818),2021-07-13 13:42:16.098000
actions,steering(-0.508124008105075),2021-07-13 13:42:16.597000
actions,steering(-0.12703883886766554),2021-07-13 13:42:17.073000
actions,steering(0.0923873429156309),2021-07-13 13:42:17.532000
actions,steering(0.09551730343981761),2021-07-13 13:42:17.995000
actions,steering(-0.02822000064135606),2021-07-13 13:42:18.513000
actions,steering(-0.031244544069710736),2021-07-13 13:42:18.992000
actions,steering(0.027607348707518364),2021-07-13 13:42:19.459000
actions,steering(0.043114593074718294),2021-07-13 13:42:19.870000
actions,steering(-0.048975520846575304),2021-07-13 13:42:20.266000
actions,steering(-0.05256427413812603),2021-07-13 13:42:20.666000
actions,steering(-0.032640846470309945),2021-07-13 13:42:20.986000
actions,steering(0.11109566972127308),2021-07-13 13:42:21.272000
actions,steering(0.013747084334721316),2021-07-13 13:42:21.596000
actions,steering(-0.0014412446016053868),2021-07-13 13:42:21.931000
actions,steering(-0.050745525488637776),2021-07-13 13:42:22.255000
actions,steering(-0.3),2021-07-13 13:42:22.473000
actions,steering(-0.3),2021-07-13 13:42:22.564000
actions,steering(-0.3),2021-07-13 13:42:22.679000
actions,steering(0.03424783933697613),2021-07-13 13:42:22.880000
actions,steering(0.6429011863319412),2021-07-13 13:42:23.291000
actions,steering(0.07615605997745244),2021-07-13 13:42:23.664000
actions,steering(-0.06320192725111638),2021-07-13 13:42:24.053000
actions,steering(0.017060998064086733),2021-07-13 13:42:24.435000
actions,steering(-0.0295580654856617),2021-07-13 13:42:24.829000
actions,steering(-0.009278883787938338),2021-07-13 13:42:25.212000
actions,steering(9.576199955474932E-4),2021-07-13 13:42:25.611000
actions,steering(0.012781494487029768),2021-07-13 13:42:26.004000
actions,steering(-0.07361485515052366),2021-07-13 13:42:26.385000
actions,steering(-0.012087701633868903),2021-07-13 13:42:26.783000
actions,steering(-0.0231795840729991),2021-07-13 13:42:27.178000
actions,steering(-0.00979593527951255),2021-07-13 13:42:27.575000
actions,steering(0.015967728223608976),2021-07-13 13:42:27.958000
actions,steering(-0.07859010874211808),2021-07-13 13:42:28.357000
actions,steering(-0.05596215434008573),2021-07-13 13:42:28.760000
actions,steering(-0.09060950308810445),2021-07-13 13:42:29.146000
actions,steering(-0.008992652617227702),2021-07-13 13:42:29.558000
actions,steering(-0.09354920564286341),2021-07-13 13:42:29.946000
actions,steering(-0.09831477244462017),2021-07-13 13:42:30.348000
actions,steering(-0.1267580413251126),2021-07-13 13:42:30.746000
actions,steering(-0.14339010644858866),2021-07-13 13:42:31.142000
actions,steering(-0.2364437834337958),2021-07-13 13:42:31.537000
actions,steering(-0.08772978588663022),2021-07-13 13:42:31.919000
actions,steering(-0.18963706114252885),2021-07-13 13:42:32.303000
actions,steering(-0.05757043726242122),2021-07-13 13:42:32.686000
actions,steering(0.09489420569060061),2021-07-13 13:42:33.070000
actions,steering(0.014989502374437084),2021-07-13 13:42:33.459000
actions,steering(-0.03229893034200281),2021-07-13 13:42:33.835000
actions,steering(-0.0011620233049083714),2021-07-13 13:42:34.216000
actions,steering(0.0061832820147847654),2021-07-13 13:42:34.600000
actions,steering(-0.03913840573629045),2021-07-13 13:42:35.007000
actions,steering(0.09551083795137613),2021-07-13 13:42:35.384000
actions,steering(-0.06942408701561875),2021-07-13 13:42:35.762000
actions,steering(-0.09258688530517394),2021-07-13 13:42:36.127000
actions,steering(0.08932670004736945),2021-07-13 13:42:36.491000
actions,steering(0.06671879778543696),2021-07-13 13:42:36.843000
actions,steering(-0.07772309773814096),2021-07-13 13:42:37.202000
actions,steering(-0.009519948600375736),2021-07-13 13:42:37.551000
actions,steering(0.014222193950551366),2021-07-13 13:42:37.892000
actions,steering(0.021983117388931547),2021-07-13 13:42:38.218000
actions,steering(0.11374876341978028),2021-07-13 13:42:38.489000
actions,steering(6.182105197712387E-5),2021-07-13 13:42:38.723000
actions,steering(-0.027810989267238406),2021-07-13 13:42:39.056000
actions,steering(-0.04570835644430834),2021-07-13 13:42:39.363000
actions,steering(-0.021857028335613003),2021-07-13 13:42:39.686000
actions,setSpeed(3),2021-07-13 13:42:39.923000
actions,steering(-0.01934547296081503),2021-07-13 13:42:40.062000
actions,steering(-0.023819867625991146),2021-07-13 13:42:40.326000
actions,steering(-0.019680304024105786),2021-07-13 13:42:40.553000
actions,steering(-0.02362147700323616),2021-07-13 13:42:40.831000
actions,steering(-0.01693313816921611),2021-07-13 13:42:41.090000
actions,steering(-0.03121304143683272),2021-07-13 13:42:41.349000
actions,steering(-0.02391387030560742),2021-07-13 13:42:41.607000
actions,setSpeed(0),2021-07-13 13:42:42.008000
actions,steering(0.029090705851111114),2021-07-13 13:42:42.077000
