Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post2),0)>",2021-07-13 13:42:12.334000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-07-13 13:42:12.396000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2)],126.96806881706038),post2,0)>",2021-07-13 13:42:12.548000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:12.750000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.012764157708744969),bearing(0.3540809656940951))>",2021-07-13 13:42:12.952000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-07-13 13:42:13.103000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:13.468000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering((-0.0016709201159638611)),bearing(0.35409580240650484))>",2021-07-13 13:42:13.671000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:13.813000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:13.956000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering((-0.0012849418687727117)),bearing(0.3540963512409121))>",2021-07-13 13:42:14.156000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:14.288000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:14.426000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.6765527027027044),bearing(0.3545286745766134))>",2021-07-13 13:42:14.646000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:14.791000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:14.941000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.3108468765682305),bearing(0.355661679987918))>",2021-07-13 13:42:15.152000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:15.301000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:15.457000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.001958785786175409),bearing(0.1998714642920163))>",2021-07-13 13:42:15.661000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:15.809000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:15.963000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.22601990838893818)),bearing((-0.019289359834601782)))>",2021-07-13 13:42:16.176000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:16.311000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:16.467000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.508124008105075)),bearing((-0.2701467477727988)))>",2021-07-13 13:42:16.662000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:16.799000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:16.935000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.12703883886766554)),bearing((-0.4976953689581478)))>",2021-07-13 13:42:17.133000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:17.261000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:17.396000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.0923873429156309),bearing((-0.520410135152531)))>",2021-07-13 13:42:17.595000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:17.727000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:17.867000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.09551730343981761),bearing((-0.44356133042685997)))>",2021-07-13 13:42:18.069000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:18.223000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:18.377000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering((-0.02822000064135606)),bearing((-0.405222186339131)))>",2021-07-13 13:42:18.582000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:18.713000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:18.864000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering((-0.031244544069710736)),bearing((-0.43679926317747686)))>",2021-07-13 13:42:19.059000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:19.186000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:19.326000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering(0.027607348707518364),bearing((-0.47006638794488254)))>",2021-07-13 13:42:19.535000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:19.662000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:19.783000
outbox,"<mid47,0,tell,BROADCAST,lkaSteer(steering(0.043114593074718294),bearing((-0.47121069910940605)))>",2021-07-13 13:42:19.915000
outbox,"<mid48,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:20.024000
outbox,"<mid49,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:20.130000
outbox,"<mid50,0,tell,BROADCAST,lkaSteer(steering((-0.048975520846575304)),bearing((-0.47861926717951064)))>",2021-07-13 13:42:20.327000
outbox,"<mid51,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:20.451000
outbox,"<mid52,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:20.563000
outbox,"<mid53,0,tell,BROADCAST,lkaSteer(steering((-0.05256427413812603)),bearing((-0.5216327861652985)))>",2021-07-13 13:42:20.723000
outbox,"<mid54,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:20.817000
outbox,"<mid55,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:20.908000
outbox,"<mid56,0,tell,BROADCAST,lkaSteer(steering((-0.032640846470309945)),bearing((-0.5468591682044348)))>",2021-07-13 13:42:21.022000
outbox,"<mid57,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:21.104000
outbox,"<mid58,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:21.188000
outbox,"<mid59,0,tell,BROADCAST,lkaSteer(steering(0.11109566972127308),bearing((-0.5406114872935746)))>",2021-07-13 13:42:21.328000
outbox,"<mid60,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:21.428000
outbox,"<mid61,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:21.533000
outbox,"<mid62,0,tell,BROADCAST,lkaSteer(steering(0.013747084334721316),bearing((-0.5169604860869867)))>",2021-07-13 13:42:21.641000
outbox,"<mid63,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:21.732000
outbox,"<mid64,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 13:42:21.825000
outbox,"<mid65,0,tell,BROADCAST,lkaSteer(steering((-0.0014412446016053868)),bearing((-0.5070092683285452)))>",2021-07-13 13:42:21.966000
outbox,"<mid66,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 13:42:22.049000
