Topic,Data,TimeStamp
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.41733875175) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.0970392227)",2021-07-13 13:42:01.783000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-9.58537158114) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.2976198196)",2021-07-13 13:42:01.848000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-9.64403492341) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.2976198196)",2021-07-13 13:42:01.918000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.24496709475) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4963293076)",2021-07-13 13:42:01.995000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-9.55062774992) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4963293076)",2021-07-13 13:42:02.060000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.81812324143) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8326406479)",2021-07-13 13:42:02.130000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-9.19382245328) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8326406479)",2021-07-13 13:42:02.196000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.85423986422) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.5382294655)",2021-07-13 13:42:02.267000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-6.15671583276) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.7943792343)",2021-07-13 13:42:02.333000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.47736380309) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.7943792343)",2021-07-13 13:42:02.410000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-6.15575814287) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.8843717575)",2021-07-13 13:42:02.469000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-9.35586493414) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.4799013138)",2021-07-13 13:42:02.547000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-6.97558035617) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.4799013138)",2021-07-13 13:42:02.606000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.4428311857) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5238227844)",2021-07-13 13:42:02.672000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-5.01188230551) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5238227844)",2021-07-13 13:42:02.744000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.52122997662) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.824297905)",2021-07-13 13:42:02.820000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.60527655141) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.824297905)",2021-07-13 13:42:02.884000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-4.86237274737) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.1699457169)",2021-07-13 13:42:02.956000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.44635623082) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.4604511261)",2021-07-13 13:42:03.022000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.65722507416) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.4604511261)",2021-07-13 13:42:03.094000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.25382280645) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(73.0027427673)",2021-07-13 13:42:03.160000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.87514353687) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(73.0027427673)",2021-07-13 13:42:03.230000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-9.12161015484) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.0418252945)",2021-07-13 13:42:03.296000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-9.03860656683) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.4114460945)",2021-07-13 13:42:03.371000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.27358843761) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.4114460945)",2021-07-13 13:42:03.435000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.98149655603) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.7830123901)",2021-07-13 13:42:03.508000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.03771774966) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.6304559708)",2021-07-13 13:42:03.572000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.01579507243) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.6304559708)",2021-07-13 13:42:03.647000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-9.24761753152) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8473014832)",2021-07-13 13:42:03.710000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-6.68977000943) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8473014832)",2021-07-13 13:42:03.778000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.17610471319) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.3025903702)",2021-07-13 13:42:03.844000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.91374350663) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(75.4841632843)",2021-07-13 13:42:03.911000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.95356228228) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(75.4841632843)",2021-07-13 13:42:03.982000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-4.46104691683) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8927412033)",2021-07-13 13:42:04.045000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.48364622137) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8927412033)",2021-07-13 13:42:04.117000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.2399694619) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.1090478897)",2021-07-13 13:42:04.183000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.07663977671) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.1090478897)",2021-07-13 13:42:04.255000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.51600904167) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.0722007751)",2021-07-13 13:42:04.321000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.3292856813) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.6359167099)",2021-07-13 13:42:04.387000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.5397731119) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.6359167099)",2021-07-13 13:42:04.455000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.8684529523) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.341132164)",2021-07-13 13:42:04.520000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.75841910235) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.341132164)",2021-07-13 13:42:04.591000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-8.16342388026) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.9381389618)",2021-07-13 13:42:04.678000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.91082464019) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.4779176712)",2021-07-13 13:42:04.747000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.61530500457) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.0240087509)",2021-07-13 13:42:04.824000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-6.37844905817) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.0240087509)",2021-07-13 13:42:04.884000
perceptions,"gps(47.641482371374586, -122.1403649908643) compass(-7.87543437283) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.1469163895)",2021-07-13 13:42:04.959000
