Topic,Data,TimeStamp
reasoningPerformance,76,2021-07-13 13:42:01.796000
reasoningPerformance,64,2021-07-13 13:42:01.858000
reasoningPerformance,78,2021-07-13 13:42:01.939000
reasoningPerformance,63,2021-07-13 13:42:02.001000
reasoningPerformance,73,2021-07-13 13:42:02.074000
reasoningPerformance,60,2021-07-13 13:42:02.135000
reasoningPerformance,74,2021-07-13 13:42:02.210000
reasoningPerformance,76,2021-07-13 13:42:02.288000
reasoningPerformance,61,2021-07-13 13:42:02.350000
reasoningPerformance,74,2021-07-13 13:42:02.424000
reasoningPerformance,49,2021-07-13 13:42:02.472000
reasoningPerformance,86,2021-07-13 13:42:02.559000
reasoningPerformance,51,2021-07-13 13:42:02.611000
reasoningPerformance,72,2021-07-13 13:42:02.685000
reasoningPerformance,65,2021-07-13 13:42:02.749000
reasoningPerformance,76,2021-07-13 13:42:02.826000
reasoningPerformance,71,2021-07-13 13:42:02.898000
reasoningPerformance,66,2021-07-13 13:42:02.964000
reasoningPerformance,63,2021-07-13 13:42:03.032000
reasoningPerformance,69,2021-07-13 13:42:03.100000
reasoningPerformance,64,2021-07-13 13:42:03.170000
reasoningPerformance,65,2021-07-13 13:42:03.235000
reasoningPerformance,66,2021-07-13 13:42:03.314000
reasoningPerformance,74,2021-07-13 13:42:03.375000
reasoningPerformance,77,2021-07-13 13:42:03.453000
reasoningPerformance,60,2021-07-13 13:42:03.513000
reasoningPerformance,64,2021-07-13 13:42:03.581000
reasoningPerformance,72,2021-07-13 13:42:03.652000
reasoningPerformance,62,2021-07-13 13:42:03.714000
reasoningPerformance,70,2021-07-13 13:42:03.784000
reasoningPerformance,66,2021-07-13 13:42:03.856000
reasoningPerformance,71,2021-07-13 13:42:03.921000
reasoningPerformance,65,2021-07-13 13:42:03.993000
reasoningPerformance,68,2021-07-13 13:42:04.059000
reasoningPerformance,64,2021-07-13 13:42:04.122000
reasoningPerformance,71,2021-07-13 13:42:04.197000
reasoningPerformance,64,2021-07-13 13:42:04.261000
reasoningPerformance,65,2021-07-13 13:42:04.339000
reasoningPerformance,60,2021-07-13 13:42:04.398000
reasoningPerformance,62,2021-07-13 13:42:04.460000
reasoningPerformance,71,2021-07-13 13:42:04.534000
reasoningPerformance,70,2021-07-13 13:42:04.603000
reasoningPerformance,89,2021-07-13 13:42:04.704000
reasoningPerformance,50,2021-07-13 13:42:04.759000
reasoningPerformance,75,2021-07-13 13:42:04.832000
reasoningPerformance,61,2021-07-13 13:42:04.895000
reasoningPerformance,76,2021-07-13 13:42:04.967000
reasoningPerformance,61,2021-07-13 13:42:05.028000
reasoningPerformance,62,2021-07-13 13:42:05.094000
reasoningPerformance,73,2021-07-13 13:42:05.166000
reasoningPerformance,62,2021-07-13 13:42:05.235000
reasoningPerformance,65,2021-07-13 13:42:05.301000
reasoningPerformance,73,2021-07-13 13:42:05.374000
reasoningPerformance,74,2021-07-13 13:42:05.450000
reasoningPerformance,55,2021-07-13 13:42:05.510000
reasoningPerformance,66,2021-07-13 13:42:05.575000
reasoningPerformance,61,2021-07-13 13:42:05.637000
