Topic,Data,TimeStamp
actions,steering(-0.004824465236276816),2021-07-13 14:37:34.317000
actions,setSpeed(8),2021-07-13 14:37:35.464000
actions,steering(9.568028635882699E-4),2021-07-13 14:37:36.313000
actions,steering(0.6145889786061195),2021-07-13 14:37:37.724000
actions,steering(-0.7025896092250411),2021-07-13 14:37:39.182000
actions,steering(0.18967768063461593),2021-07-13 14:37:40.673000
actions,steering(0.01495638468563471),2021-07-13 14:37:42.230000
actions,steering(-0.3),2021-07-13 14:37:42.977000
actions,steering(0.3546037588509537),2021-07-13 14:37:44.417000
actions,steering(0.10860365792739998),2021-07-13 14:37:46.147000
actions,steering(0.04975430504819182),2021-07-13 14:37:48.018000
