Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post3),0)>",2021-07-13 14:37:32.612000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-07-13 14:37:32.748000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2),op(drive,post5),op(drive,post3)],234.1973965273919),post3,0)>",2021-07-13 14:37:33.126000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 14:37:33.792000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.004824465236276816)),bearing(0.35408041053017314))>",2021-07-13 14:37:34.514000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-07-13 14:37:34.878000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 14:37:35.892000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(9.568028635882699E-4),bearing(0.3540990994758886))>",2021-07-13 14:37:36.505000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 14:37:36.901000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 14:37:37.306000
outbox,"<mid11,0,tell,BROADCAST,lkaSteer(steering(0.6145889786061195),bearing(0.3583808111296207))>",2021-07-13 14:37:37.944000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 14:37:38.341000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 14:37:38.762000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering((-0.7025896092250411)),bearing(0.08897245160466127))>",2021-07-13 14:37:39.381000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 14:37:39.787000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 14:37:40.246000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.18967768063461593),bearing((-1.0289513914803479)))>",2021-07-13 14:37:40.887000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 14:37:41.293000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 14:37:41.761000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.01495638468563471),bearing((-1.392425889533797)))>",2021-07-13 14:37:42.469000
outbox,"<mid21,0,tell,BROADCAST,obstacleAvoid(steering((-0.3)))>",2021-07-13 14:37:43.218000
outbox,"<mid22,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 14:37:43.447000
outbox,"<mid23,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 14:37:43.925000
outbox,"<mid24,0,tell,BROADCAST,lkaSteer(steering(0.3546037588509537),bearing((-2.505788093324952)))>",2021-07-13 14:37:44.652000
outbox,"<mid25,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 14:37:45.139000
outbox,"<mid26,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 14:37:45.651000
outbox,"<mid27,0,tell,BROADCAST,lkaSteer(steering(0.10860365792739998),bearing((-2.333960348103517)))>",2021-07-13 14:37:46.401000
outbox,"<mid28,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-07-13 14:37:46.891000
outbox,"<mid29,0,tell,BROADCAST,driveToward(main,post2)>",2021-07-13 14:37:47.476000
