Topic,Data,TimeStamp
reasoningPerformance,27876,2021-07-13 14:37:32.311000
reasoningPerformance,150,2021-07-13 14:37:32.467000
reasoningPerformance,145,2021-07-13 14:37:32.610000
reasoningPerformance,135,2021-07-13 14:37:32.749000
reasoningPerformance,211,2021-07-13 14:37:32.960000
reasoningPerformance,163,2021-07-13 14:37:33.127000
reasoningPerformance,157,2021-07-13 14:37:33.285000
reasoningPerformance,203,2021-07-13 14:37:33.495000
reasoningPerformance,295,2021-07-13 14:37:33.797000
reasoningPerformance,252,2021-07-13 14:37:34.052000
reasoningPerformance,264,2021-07-13 14:37:34.312000
reasoningPerformance,188,2021-07-13 14:37:34.516000
reasoningPerformance,176,2021-07-13 14:37:34.723000
reasoningPerformance,187,2021-07-13 14:37:34.880000
reasoningPerformance,190,2021-07-13 14:37:35.081000
reasoningPerformance,187,2021-07-13 14:37:35.262000
reasoningPerformance,192,2021-07-13 14:37:35.466000
reasoningPerformance,190,2021-07-13 14:37:35.658000
reasoningPerformance,241,2021-07-13 14:37:35.892000
reasoningPerformance,204,2021-07-13 14:37:36.098000
reasoningPerformance,212,2021-07-13 14:37:36.313000
reasoningPerformance,189,2021-07-13 14:37:36.512000
reasoningPerformance,188,2021-07-13 14:37:36.702000
reasoningPerformance,198,2021-07-13 14:37:36.908000
reasoningPerformance,188,2021-07-13 14:37:37.096000
reasoningPerformance,210,2021-07-13 14:37:37.307000
reasoningPerformance,206,2021-07-13 14:37:37.517000
reasoningPerformance,207,2021-07-13 14:37:37.725000
reasoningPerformance,213,2021-07-13 14:37:37.948000
reasoningPerformance,190,2021-07-13 14:37:38.137000
reasoningPerformance,201,2021-07-13 14:37:38.346000
reasoningPerformance,203,2021-07-13 14:37:38.555000
reasoningPerformance,215,2021-07-13 14:37:38.765000
reasoningPerformance,199,2021-07-13 14:37:38.965000
reasoningPerformance,217,2021-07-13 14:37:39.186000
reasoningPerformance,198,2021-07-13 14:37:39.381000
reasoningPerformance,202,2021-07-13 14:37:39.589000
reasoningPerformance,199,2021-07-13 14:37:39.788000
reasoningPerformance,228,2021-07-13 14:37:40.026000
reasoningPerformance,229,2021-07-13 14:37:40.252000
reasoningPerformance,194,2021-07-13 14:37:40.455000
reasoningPerformance,225,2021-07-13 14:37:40.675000
reasoningPerformance,211,2021-07-13 14:37:40.888000
reasoningPerformance,197,2021-07-13 14:37:41.086000
reasoningPerformance,207,2021-07-13 14:37:41.295000
reasoningPerformance,204,2021-07-13 14:37:41.508000
reasoningPerformance,260,2021-07-13 14:37:41.765000
reasoningPerformance,221,2021-07-13 14:37:41.990000
reasoningPerformance,240,2021-07-13 14:37:42.232000
reasoningPerformance,234,2021-07-13 14:37:42.474000
reasoningPerformance,247,2021-07-13 14:37:42.735000
reasoningPerformance,238,2021-07-13 14:37:42.989000
reasoningPerformance,232,2021-07-13 14:37:43.214000
reasoningPerformance,232,2021-07-13 14:37:43.447000
reasoningPerformance,220,2021-07-13 14:37:43.675000
reasoningPerformance,256,2021-07-13 14:37:43.926000
reasoningPerformance,231,2021-07-13 14:37:44.157000
reasoningPerformance,258,2021-07-13 14:37:44.424000
reasoningPerformance,223,2021-07-13 14:37:44.657000
reasoningPerformance,234,2021-07-13 14:37:44.898000
reasoningPerformance,240,2021-07-13 14:37:45.143000
reasoningPerformance,248,2021-07-13 14:37:45.393000
reasoningPerformance,258,2021-07-13 14:37:45.651000
reasoningPerformance,235,2021-07-13 14:37:45.893000
reasoningPerformance,252,2021-07-13 14:37:46.151000
reasoningPerformance,245,2021-07-13 14:37:46.402000
reasoningPerformance,238,2021-07-13 14:37:46.645000
reasoningPerformance,251,2021-07-13 14:37:46.892000
reasoningPerformance,272,2021-07-13 14:37:47.167000
reasoningPerformance,302,2021-07-13 14:37:47.486000
reasoningPerformance,282,2021-07-13 14:37:47.761000
reasoningPerformance,255,2021-07-13 14:37:48.024000
