,reasoningCycle,perceive,buf,checkMail,selectEvent,relevantPlans,applicablePlans,selectOption,applyFindOp,selectAction,applyExecInt,deliberate,sense,act
1,3662270,3450226,3693,107,2121,18119,4575,40,-1,-1,541,27788,3633718,616
2,3672107,3453589,5725,111,2653,18327,4619,40,-1,-1,759,28709,3639171,855
3,3990083,3566336,23650,165,6488,21054,82776,105,-1,-1,93985,114395,3770129,96626
4,3999869,3569441,26528,170,6926,21948,82920,105,-1,10,95331,115932,3776140,98327
5,4005667,3572055,28851,175,7043,22083,82964,105,-1,10,95408,116262,3781106,98418
6,4021650,3582536,31203,181,7923,22505,83348,115,-1,10,96204,118129,3793970,99242
7,4032434,3588289,34349,189,7930,22625,83387,115,-1,10,97250,118326,3802903,100320
8,4045113,3595164,37771,195,8683,22905,83440,115,-1,10,97432,119588,3813232,100523
9,4058250,3602714,41521,203,9137,23077,83480,115,-1,10,97471,120329,3824569,101064
10,4069238,3608903,44520,209,9535,23387,83571,115,-1,12,97706,121206,3833791,101391
11,4114616,3624434,47795,217,9986,23825,106923,127,-1,12,98702,145661,3852633,102416
12,4123644,3627680,52049,224,10367,24113,107018,127,-1,12,98812,146491,3860168,102545
13,3700548,3458042,6843,116,3273,18655,24765,83,-1,-1,1926,50042,3644775,2052
14,4139273,3633125,54241,229,10761,24381,112789,137,-1,12,98851,153108,3867837,103292
15,4151130,3639204,57505,233,10997,24599,112858,137,-1,15,99934,153685,3877208,104476
16,4159775,3643965,59876,237,11140,24735,112904,137,-1,15,100001,154044,3884380,104556
17,4171614,3649753,62467,242,12011,25186,113248,144,-1,15,100821,155889,3892791,105432
18,4182965,3656753,65614,247,12016,25284,113290,144,-1,15,100921,156063,3902965,105550
19,4213604,3660795,69560,262,12874,25812,132675,157,-1,15,101590,177042,3910997,106265
20,4232428,3672851,73797,267,13072,26016,132748,157,-1,15,101854,177566,3927322,106549
21,4251848,3678526,76921,273,13898,26467,140450,166,-1,15,101889,186738,3936153,107061
22,4260734,3681400,80617,280,14127,26700,140517,166,-1,17,102873,187321,3942756,108142
23,4265726,3683153,82713,284,14255,26827,140560,166,-1,17,102960,187654,3946631,108242
24,3713381,3466012,9607,121,3562,18860,24846,83,-1,-1,3051,50671,3655544,3200
25,4285000,3696427,86018,290,14681,27120,140826,173,-1,17,104014,188820,3963244,109350
