Topic,Data,TimeStamp
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:54.609409
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:54.708884
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:54.809851
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:54.909079
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:55.008607
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:55.108559
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:55.208933
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:55.308914
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:55.408543
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:55.508602
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:55.608661
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:55.709327
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:55.809008
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:55.908415
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:56.008393
perceptions,"battery(0.996669173241) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-13 15:25:56.109014
