,reasoningCycle,perceive,buf,checkMail,selectEvent,relevantPlans,applicablePlans,selectOption,applyFindOp,selectAction,applyExecInt,deliberate,sense,act
1,1562223,1134893,8681,154,-1,20399,2763,-1,-1,-1,6367,25152,1525364,11655
2,1666177,1163658,23470,185,234,23767,11505,190,-1,-1,17083,73482,1569285,23211
3,2109798,1288417,175199,1347,42078,33691,46584,595,-1,-1,44189,190790,1866193,52399
4,2170386,1312652,189290,1393,42120,35264,54310,643,-1,-1,53732,202687,1904715,62548
5,2214228,1327286,210563,1462,42120,35264,54310,643,-1,-1,58373,205475,1940839,67458
6,2247293,1340852,227264,1498,42120,35264,54310,643,-1,-1,59461,206805,1971280,68732
7,2285238,1354162,242008,1540,42166,40350,55309,714,-1,-1,60238,215534,1999521,69685
8,2356087,1373992,272908,1570,42209,44067,61242,763,-1,-1,66833,228475,2050427,76662
9,2393627,1388373,288679,1624,42209,44067,61242,763,-1,-1,72162,230035,2080786,82262
10,2422954,1399684,302832,1655,42209,44067,61242,763,-1,-1,73238,232412,2106418,83556
11,2511196,1411990,325448,1703,42255,47264,107379,836,-1,-1,74030,284547,2141536,84525
12,4329528,3709924,31581,84,-1,-1,-1,-1,-1,-1,-1,-1,4329340,-1
13,1731146,1180228,59725,257,234,23767,11505,190,-1,-1,18661,83490,1622351,25061
14,4561371,3725393,59294,113,13154,73420,72599,-1,-1,-1,-1,187676,4372876,386
15,4602202,3739674,75136,139,13154,73420,72599,-1,-1,-1,-1,197900,4403309,503
16,4643359,3750171,99858,165,13154,73420,72599,-1,-1,-1,-1,203554,4438681,614
17,4689896,3766184,112995,817,13154,73420,72599,-1,-1,-1,-1,208857,4479722,736
18,4735985,3797631,125421,863,13154,73420,72599,-1,-1,-1,-1,210740,4523797,847
19,4760079,3807199,135807,1403,13154,73420,72599,-1,-1,-1,-1,212922,4545364,1173
20,4839065,3821986,151816,1449,13197,76601,72768,331,-1,-1,9866,250682,4576342,11401
21,4888044,3834785,175740,1478,13197,76601,72768,331,-1,-1,13726,257293,4613233,16857
22,4943135,3854673,189311,1532,13238,79188,77138,406,-1,-1,24453,267542,4646891,28021
23,4968560,3864844,201166,1576,13238,79188,77138,406,-1,-1,25489,269512,4669095,29252
24,1784090,1189997,72847,292,292,26152,28473,237,-1,-1,25956,105709,1645483,32628
25,5063974,3875591,229147,1609,13283,81997,119683,479,-1,-1,33013,318148,4707990,37115
26,5122165,3887332,245092,1639,13325,83737,130729,479,-1,-1,46931,334301,4735834,51288
27,5734458,3904429,264180,2022,13325,83737,130729,479,-1,-1,619778,336710,4772580,624404
