Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,battery(chargingNeeded)>",2021-07-12 14:52:33.226905
outbox,"<mid2,0,tell,BROADCAST,chargeBattery(chargingNeeded)>",2021-07-12 14:52:33.333069
outbox,"<mid3,0,tell,BROADCAST,navigate(arrived(d,0))>",2021-07-12 14:52:33.634762
outbox,"<mid4,0,tell,BROADCAST,chargeBattery(atDock)>",2021-07-12 14:52:33.731180
outbox,"<mid5,0,tell,BROADCAST,chargeBattery(docked)>",2021-07-12 14:52:35.027295
outbox,"<mid6,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:35.239627
outbox,"<mid7,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:35.420504
outbox,"<mid8,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:35.627104
outbox,"<mid9,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:35.823064
outbox,"<mid10,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:36.020768
outbox,"<mid11,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:36.222865
outbox,"<mid12,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:36.425744
outbox,"<mid13,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:36.622963
outbox,"<mid14,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:36.823053
outbox,"<mid15,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:37.017946
outbox,"<mid16,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:37.219803
outbox,"<mid17,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:37.425101
outbox,"<mid18,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:37.626149
outbox,"<mid19,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:37.820129
outbox,"<mid20,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:38.020969
outbox,"<mid21,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:38.217208
outbox,"<mid22,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:38.419431
outbox,"<mid23,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:38.630434
outbox,"<mid24,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:38.923190
outbox,"<mid25,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:39.122649
outbox,"<mid26,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:39.318323
outbox,"<mid27,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:39.620561
outbox,"<mid28,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:40.022439
outbox,"<mid29,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:40.221383
outbox,"<mid30,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:52:40.522412
outbox,"<mid31,0,tell,BROADCAST,avoid(obstacle)>",2021-07-12 14:52:40.824865
outbox,"<mid32,0,tell,BROADCAST,turn(left)>",2021-07-12 14:52:41.027884
outbox,"<mid33,0,tell,BROADCAST,move(0,4.1,2)>",2021-07-12 14:52:41.317555
outbox,"<mid34,0,tell,BROADCAST,move(0,4.1,1)>",2021-07-12 14:52:41.718476
outbox,"<mid35,0,tell,BROADCAST,move(0.5,(-3),10)>",2021-07-12 14:52:42.217398
outbox,"<mid36,0,tell,BROADCAST,move(0.5,(-3),9)>",2021-07-12 14:52:42.517749
outbox,"<mid37,0,tell,BROADCAST,move(0.5,(-3),8)>",2021-07-12 14:52:42.829302
outbox,"<mid38,0,tell,BROADCAST,move(0.5,(-3),7)>",2021-07-12 14:52:43.217404
outbox,"<mid39,0,tell,BROADCAST,move(0.5,(-3),6)>",2021-07-12 14:52:43.623782
outbox,"<mid40,0,tell,BROADCAST,move(0.5,(-3),5)>",2021-07-12 14:52:44.021716
outbox,"<mid41,0,tell,BROADCAST,move(0.5,(-3),4)>",2021-07-12 14:52:44.322304
outbox,"<mid42,0,tell,BROADCAST,move(0.5,(-3),3)>",2021-07-12 14:52:44.621430
