Topic,Data,TimeStamp
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:27.315584
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:27.507901
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:27.706767
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:27.807055
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:27.907400
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:28.007504
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:28.107288
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:28.306816
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:28.406491
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:28.506997
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:28.606938
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:28.706799
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:28.806803
perceptions,"batt(0.637305736542) bumper(unpressed) odomPosition(1.1302918195724487, 1.2296777963638306, 0.0) odomYaw(4.99961394886)",2021-07-12 14:52:28.908950
