Topic,Data,TimeStamp
reasoningPerformance,882,2021-07-12 14:52:33.170498
reasoningPerformance,70,2021-07-12 14:52:33.230079
reasoningPerformance,13,2021-07-12 14:52:33.238730
reasoningPerformance,88,2021-07-12 14:52:33.327275
reasoningPerformance,92,2021-07-12 14:52:33.422298
reasoningPerformance,100,2021-07-12 14:52:33.525233
reasoningPerformance,110,2021-07-12 14:52:33.639036
reasoningPerformance,86,2021-07-12 14:52:33.734554
reasoningPerformance,102,2021-07-12 14:52:33.827937
reasoningPerformance,93,2021-07-12 14:52:33.921068
reasoningPerformance,1006,2021-07-12 14:52:34.927439
reasoningPerformance,92,2021-07-12 14:52:35.020893
reasoningPerformance,98,2021-07-12 14:52:35.124899
reasoningPerformance,114,2021-07-12 14:52:35.234017
reasoningPerformance,84,2021-07-12 14:52:35.320175
reasoningPerformance,100,2021-07-12 14:52:35.427540
reasoningPerformance,92,2021-07-12 14:52:35.517791
reasoningPerformance,106,2021-07-12 14:52:35.623353
reasoningPerformance,96,2021-07-12 14:52:35.722060
reasoningPerformance,100,2021-07-12 14:52:35.820894
reasoningPerformance,99,2021-07-12 14:52:35.925861
reasoningPerformance,96,2021-07-12 14:52:36.024401
reasoningPerformance,94,2021-07-12 14:52:36.117901
reasoningPerformance,105,2021-07-12 14:52:36.223169
reasoningPerformance,100,2021-07-12 14:52:36.325355
reasoningPerformance,102,2021-07-12 14:52:36.425425
reasoningPerformance,92,2021-07-12 14:52:36.518814
reasoningPerformance,102,2021-07-12 14:52:36.621530
reasoningPerformance,97,2021-07-12 14:52:36.718280
reasoningPerformance,103,2021-07-12 14:52:36.822335
reasoningPerformance,102,2021-07-12 14:52:36.924169
reasoningPerformance,94,2021-07-12 14:52:37.018320
reasoningPerformance,100,2021-07-12 14:52:37.120186
reasoningPerformance,99,2021-07-12 14:52:37.222695
reasoningPerformance,97,2021-07-12 14:52:37.319837
reasoningPerformance,108,2021-07-12 14:52:37.428094
reasoningPerformance,94,2021-07-12 14:52:37.519520
reasoningPerformance,104,2021-07-12 14:52:37.622666
reasoningPerformance,98,2021-07-12 14:52:37.721288
reasoningPerformance,98,2021-07-12 14:52:37.819801
reasoningPerformance,95,2021-07-12 14:52:37.915499
reasoningPerformance,103,2021-07-12 14:52:38.020466
reasoningPerformance,97,2021-07-12 14:52:38.119716
reasoningPerformance,98,2021-07-12 14:52:38.219091
reasoningPerformance,99,2021-07-12 14:52:38.324713
reasoningPerformance,95,2021-07-12 14:52:38.420344
reasoningPerformance,100,2021-07-12 14:52:38.519920
reasoningPerformance,108,2021-07-12 14:52:38.628607
reasoningPerformance,189,2021-07-12 14:52:38.820967
reasoningPerformance,104,2021-07-12 14:52:38.920828
reasoningPerformance,95,2021-07-12 14:52:39.015942
reasoningPerformance,106,2021-07-12 14:52:39.124901
reasoningPerformance,93,2021-07-12 14:52:39.220284
reasoningPerformance,101,2021-07-12 14:52:39.319523
reasoningPerformance,97,2021-07-12 14:52:39.418011
reasoningPerformance,204,2021-07-12 14:52:39.625074
reasoningPerformance,197,2021-07-12 14:52:39.818293
reasoningPerformance,205,2021-07-12 14:52:40.023881
reasoningPerformance,92,2021-07-12 14:52:40.119225
reasoningPerformance,102,2021-07-12 14:52:40.220869
reasoningPerformance,206,2021-07-12 14:52:40.427121
reasoningPerformance,93,2021-07-12 14:52:40.520564
reasoningPerformance,99,2021-07-12 14:52:40.620778
reasoningPerformance,202,2021-07-12 14:52:40.824124
reasoningPerformance,110,2021-07-12 14:52:40.934187
reasoningPerformance,92,2021-07-12 14:52:41.028930
reasoningPerformance,189,2021-07-12 14:52:41.218351
reasoningPerformance,100,2021-07-12 14:52:41.319178
reasoningPerformance,108,2021-07-12 14:52:41.426201
reasoningPerformance,190,2021-07-12 14:52:41.614722
reasoningPerformance,103,2021-07-12 14:52:41.720129
reasoningPerformance,96,2021-07-12 14:52:41.815017
reasoningPerformance,103,2021-07-12 14:52:41.921631
reasoningPerformance,100,2021-07-12 14:52:42.020251
reasoningPerformance,99,2021-07-12 14:52:42.118535
reasoningPerformance,99,2021-07-12 14:52:42.222353
reasoningPerformance,96,2021-07-12 14:52:42.323260
reasoningPerformance,99,2021-07-12 14:52:42.418812
reasoningPerformance,100,2021-07-12 14:52:42.520627
reasoningPerformance,101,2021-07-12 14:52:42.620941
reasoningPerformance,97,2021-07-12 14:52:42.722130
reasoningPerformance,97,2021-07-12 14:52:42.830274
reasoningPerformance,98,2021-07-12 14:52:42.923871
reasoningPerformance,98,2021-07-12 14:52:43.017650
reasoningPerformance,201,2021-07-12 14:52:43.221211
reasoningPerformance,98,2021-07-12 14:52:43.316780
reasoningPerformance,103,2021-07-12 14:52:43.420268
reasoningPerformance,201,2021-07-12 14:52:43.622208
reasoningPerformance,98,2021-07-12 14:52:43.733421
reasoningPerformance,97,2021-07-12 14:52:43.817705
reasoningPerformance,202,2021-07-12 14:52:44.020577
reasoningPerformance,96,2021-07-12 14:52:44.119379
reasoningPerformance,103,2021-07-12 14:52:44.218089
reasoningPerformance,101,2021-07-12 14:52:44.322684
reasoningPerformance,99,2021-07-12 14:52:44.422919
reasoningPerformance,97,2021-07-12 14:52:44.517024
reasoningPerformance,104,2021-07-12 14:52:44.618554
