Topic,Data,TimeStamp
actions,station(dock),2021-07-12 14:33:01.832410
actions,"drivexy(0.5,0)",2021-07-12 14:33:07.232457
actions,"drivexy(0.5,0)",2021-07-12 14:33:07.837240
actions,"drivexy(0,4.1)",2021-07-12 14:33:08.935969
actions,"drivexy(0,4.1)",2021-07-12 14:33:09.240880
actions,"drivexy(0.5,-3)",2021-07-12 14:33:09.738916
actions,"drivexy(0.5,-3)",2021-07-12 14:33:10.036569
actions,"drivexy(0.5,-3)",2021-07-12 14:33:10.336060
actions,"drivexy(0.5,-3)",2021-07-12 14:33:10.638994
actions,"drivexy(0.5,-3)",2021-07-12 14:33:10.945708
actions,"drivexy(0.5,-3)",2021-07-12 14:33:11.237276
actions,"drivexy(0.5,-3)",2021-07-12 14:33:11.533925
actions,"drivexy(0.5,-3)",2021-07-12 14:33:11.832248
actions,"drivexy(0.5,-3)",2021-07-12 14:33:12.132396
actions,"drivexy(0.5,-3)",2021-07-12 14:33:12.435722
actions,"drivexy(0,4.1)",2021-07-12 14:33:13.136028
actions,"drivexy(0,4.1)",2021-07-12 14:33:13.432461
actions,"drivexy(0,4.1)",2021-07-12 14:33:14.239492
actions,"drivexy(0,4.1)",2021-07-12 14:33:14.542046
actions,"drivexy(0.5,-3)",2021-07-12 14:33:15.035529
actions,"drivexy(0.5,-3)",2021-07-12 14:33:15.343471
actions,"drivexy(0.5,-3)",2021-07-12 14:33:15.634022
actions,"drivexy(0.5,-3)",2021-07-12 14:33:15.948657
actions,"drivexy(0.5,-3)",2021-07-12 14:33:16.234871
actions,"drivexy(0.5,-3)",2021-07-12 14:33:16.534543
actions,"drivexy(0.5,-3)",2021-07-12 14:33:16.830612
actions,"drivexy(0.5,-3)",2021-07-12 14:33:17.132321
actions,"drivexy(0.5,-3)",2021-07-12 14:33:17.432864
actions,"drivexy(0.5,-3)",2021-07-12 14:33:17.731230
actions,"drivexy(0,4.1)",2021-07-12 14:33:18.436054
actions,"drivexy(0,4.1)",2021-07-12 14:33:18.735608
actions,"drivexy(0,4.1)",2021-07-12 14:33:19.530582
actions,"drivexy(0,4.1)",2021-07-12 14:33:19.832565
actions,"drivexy(0.5,-3)",2021-07-12 14:33:20.525109
actions,"drivexy(0.5,-3)",2021-07-12 14:33:20.831760
actions,"drivexy(0.5,-3)",2021-07-12 14:33:21.232789
actions,"drivexy(0.5,-3)",2021-07-12 14:33:21.533962
actions,"drivexy(0.5,-3)",2021-07-12 14:33:21.829939
actions,"drivexy(0.5,-3)",2021-07-12 14:33:22.132607
actions,"drivexy(0.5,-3)",2021-07-12 14:33:22.432429
actions,"drivexy(0.5,-3)",2021-07-12 14:33:22.835968
actions,"drivexy(0.5,-3)",2021-07-12 14:33:23.132280
actions,"drivexy(0.5,-3)",2021-07-12 14:33:23.431921
actions,"drivexy(0,4.1)",2021-07-12 14:33:24.133756
actions,"drivexy(0,4.1)",2021-07-12 14:33:24.434239
