Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:53.542198
outbox,"<mid2,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:53.739118
outbox,"<mid3,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:53.947160
outbox,"<mid4,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:54.148501
outbox,"<mid5,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:54.354537
outbox,"<mid6,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:54.546167
outbox,"<mid7,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:54.745884
outbox,"<mid8,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:54.947342
outbox,"<mid9,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:55.235986
outbox,"<mid10,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:55.434851
outbox,"<mid11,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:55.640624
outbox,"<mid12,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:55.843697
outbox,"<mid13,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:56.132969
outbox,"<mid14,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:56.331353
outbox,"<mid15,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:56.537957
outbox,"<mid16,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:56.733707
outbox,"<mid17,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:56.935714
outbox,"<mid18,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:57.134172
outbox,"<mid19,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:57.333893
outbox,"<mid20,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:57.534053
outbox,"<mid21,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:57.738045
outbox,"<mid22,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:57.940203
outbox,"<mid23,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:58.126557
outbox,"<mid24,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:58.335641
outbox,"<mid25,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:58.538922
outbox,"<mid26,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:58.733608
outbox,"<mid27,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:58.930931
outbox,"<mid28,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:59.133588
outbox,"<mid29,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:59.332983
outbox,"<mid30,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:59.536265
outbox,"<mid31,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:59.742333
outbox,"<mid32,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:32:59.939244
outbox,"<mid33,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:33:00.135812
outbox,"<mid34,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:33:00.333279
outbox,"<mid35,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:33:00.534267
outbox,"<mid36,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:33:00.736364
outbox,"<mid37,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:33:00.933516
outbox,"<mid38,0,tell,BROADCAST,chargeBattery(waiting)>",2021-07-12 14:33:01.133451
outbox,"<mid39,0,tell,BROADCAST,chargeBattery(chargingNeeded)>",2021-07-12 14:33:01.333664
outbox,"<mid40,0,tell,BROADCAST,navigate(arrived(d,0))>",2021-07-12 14:33:01.635620
outbox,"<mid41,0,tell,BROADCAST,chargeBattery(atDock)>",2021-07-12 14:33:01.730966
outbox,"<mid42,0,tell,BROADCAST,mailUpdate(receivedMission,b,b)>",2021-07-12 14:33:02.945630
outbox,"<mid43,0,tell,BROADCAST,collectMail(goToSender,b)>",2021-07-12 14:33:03.233796
