Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,mailUpdate(receivedMission,a,c)>",2021-07-12 10:08:38.749903
outbox,"<mid2,0,tell,BROADCAST,collectMail(goToSender,a)>",2021-07-12 10:08:38.946336
outbox,"<mid3,0,tell,BROADCAST,navigate(gettingRoute(a),0)>",2021-07-12 10:08:39.157837
outbox,"<mid4,0,tell,BROADCAST,navigate(current(d),0)>",2021-07-12 10:08:39.344747
outbox,"<mid5,0,tell,BROADCAST,navigate(route([op(initial,d),op(drive,b),op(drive,a)],2),a,0)>",2021-07-12 10:08:39.540193
outbox,"<mid6,0,tell,BROADCAST,waypoint(b)>",2021-07-12 10:08:39.846905
outbox,"<mid7,0,tell,BROADCAST,faceNext(b)>",2021-07-12 10:08:40.056638
outbox,"<mid8,0,tell,BROADCAST,drive(forwad)>",2021-07-12 10:08:40.741316
outbox,"<mid9,0,tell,BROADCAST,move(0.5,0,5)>",2021-07-12 10:08:40.941582
outbox,"<mid10,0,tell,BROADCAST,move(0.5,0,4)>",2021-07-12 10:08:41.341885
outbox,"<mid11,0,tell,BROADCAST,move(0.5,0,3)>",2021-07-12 10:08:41.645009
outbox,"<mid12,0,tell,BROADCAST,move(0.5,0,2)>",2021-07-12 10:08:41.948444
outbox,"<mid13,0,tell,BROADCAST,move(0.5,0,1)>",2021-07-12 10:08:42.343287
outbox,"<mid14,0,tell,BROADCAST,waypoint(atLocation(b))>",2021-07-12 10:08:43.042692
outbox,"<mid15,0,tell,BROADCAST,waypoint(a)>",2021-07-12 10:08:43.444977
outbox,"<mid16,0,tell,BROADCAST,faceNext(a)>",2021-07-12 10:08:43.645365
outbox,"<mid17,0,tell,BROADCAST,turn(left)>",2021-07-12 10:08:43.844651
outbox,"<mid18,0,tell,BROADCAST,move(0,4.1,2)>",2021-07-12 10:08:44.039882
outbox,"<mid19,0,tell,BROADCAST,move(0,4.1,1)>",2021-07-12 10:08:44.343050
outbox,"<mid20,0,tell,BROADCAST,drive(forwad)>",2021-07-12 10:08:45.143940
outbox,"<mid21,0,tell,BROADCAST,move(0.5,0,5)>",2021-07-12 10:08:45.341736
outbox,"<mid22,0,tell,BROADCAST,move(0.5,0,4)>",2021-07-12 10:08:45.638769
outbox,"<mid23,0,tell,BROADCAST,move(0.5,0,3)>",2021-07-12 10:08:45.940456
outbox,"<mid24,0,tell,BROADCAST,move(0.5,0,2)>",2021-07-12 10:08:46.243159
outbox,"<mid25,0,tell,BROADCAST,move(0.5,0,1)>",2021-07-12 10:08:46.544938
outbox,"<mid26,0,tell,BROADCAST,waypoint(atLocation(a))>",2021-07-12 10:08:47.365328
outbox,"<mid27,0,tell,BROADCAST,navigate(arrived(a,0))>",2021-07-12 10:08:47.743579
outbox,"<mid28,0,tell,BROADCAST,collectMail(atSender,a)>",2021-07-12 10:08:47.840370
outbox,"<mid29,0,tell,BROADCAST,collectMail(haveMail,a)>",2021-07-12 10:08:48.054967
outbox,"<mid30,0,tell,BROADCAST,mailUpdate(gotMail,a,c)>",2021-07-12 10:08:48.140298
outbox,"<mid31,0,tell,BROADCAST,deliverMail(goToReceiver,c)>",2021-07-12 10:08:48.342471
outbox,"<mid32,0,tell,BROADCAST,navigate(gettingRoute(c),0)>",2021-07-12 10:08:48.545062
outbox,"<mid33,0,tell,BROADCAST,navigate(current(a),0)>",2021-07-12 10:08:48.642774
outbox,"<mid34,0,tell,BROADCAST,navigate(route([op(initial,a),op(drive,b),op(drive,c)],2),c,0)>",2021-07-12 10:08:48.847308
outbox,"<mid35,0,tell,BROADCAST,waypoint(b)>",2021-07-12 10:08:49.142110
outbox,"<mid36,0,tell,BROADCAST,faceNext(b)>",2021-07-12 10:08:49.341335
outbox,"<mid37,0,tell,BROADCAST,turn(around)>",2021-07-12 10:08:49.540637
outbox,"<mid38,0,tell,BROADCAST,move(0,4.1,4)>",2021-07-12 10:08:49.739453
outbox,"<mid39,0,tell,BROADCAST,move(0,4.1,3)>",2021-07-12 10:08:50.039037
outbox,"<mid40,0,tell,BROADCAST,move(0,4.1,2)>",2021-07-12 10:08:50.339615
outbox,"<mid41,0,tell,BROADCAST,move(0,4.1,1)>",2021-07-12 10:08:50.640579
outbox,"<mid42,0,tell,BROADCAST,drive(forwad)>",2021-07-12 10:08:51.439320
outbox,"<mid43,0,tell,BROADCAST,move(0.5,0,5)>",2021-07-12 10:08:51.643496
outbox,"<mid44,0,tell,BROADCAST,move(0.5,0,4)>",2021-07-12 10:08:51.941745
outbox,"<mid45,0,tell,BROADCAST,move(0.5,0,3)>",2021-07-12 10:08:52.242255
outbox,"<mid46,0,tell,BROADCAST,move(0.5,0,2)>",2021-07-12 10:08:52.542090
outbox,"<mid47,0,tell,BROADCAST,move(0.5,0,1)>",2021-07-12 10:08:52.844547
outbox,"<mid48,0,tell,BROADCAST,waypoint(atLocation(b))>",2021-07-12 10:08:53.540305
outbox,"<mid49,0,tell,BROADCAST,waypoint(c)>",2021-07-12 10:08:53.940755
outbox,"<mid50,0,tell,BROADCAST,faceNext(c)>",2021-07-12 10:08:54.152000
outbox,"<mid51,0,tell,BROADCAST,drive(forwad)>",2021-07-12 10:08:54.838934
