Topic,Data,TimeStamp
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:28.534747
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:28.630362
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:28.731070
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:28.830859
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:28.931066
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:29.030862
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:29.130884
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:29.232951
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:29.330993
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:29.430756
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:29.530776
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:29.633271
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:29.731058
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:29.830632
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:29.930955
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:30.032985
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:30.130951
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:30.231024
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:30.330678
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:30.433067
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:30.530912
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:30.630676
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:30.730643
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:30.832899
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:30.930815
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:31.030853
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:31.132860
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:31.233035
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:31.330713
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:31.430887
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:31.533322
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:31.632776
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:31.730795
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:31.830754
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:31.932962
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:32.032862
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:32.130902
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:32.230960
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:32.330643
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:32.431311
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:32.531006
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:32.630487
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:32.730997
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:32.831010
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:32.931349
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:33.030958
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:33.128678
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:33.232559
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:33.331098
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:33.430967
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:33.531049
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:33.632028
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:33.731371
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:33.831303
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:33.931041
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:34.032273
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:34.131030
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:34.231031
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:34.333038
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:34.530970
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:34.634089
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:34.731216
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:34.834512
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:34.931442
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:35.031391
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:35.132636
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:35.231343
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:35.331250
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:35.431423
perceptions,"battery(0.987786829472) bumper(unpressed) odomPosition(0.0, 0.0, 0.0) odomYaw(0.0)",2021-07-12 10:08:35.532554
