Topic,Data,TimeStamp
reasoningPerformance,125,2021-07-12 10:08:28.568998
reasoningPerformance,70,2021-07-12 10:08:28.644081
reasoningPerformance,107,2021-07-12 10:08:28.747221
reasoningPerformance,93,2021-07-12 10:08:28.842699
reasoningPerformance,99,2021-07-12 10:08:28.945089
reasoningPerformance,99,2021-07-12 10:08:29.042187
reasoningPerformance,101,2021-07-12 10:08:29.141703
reasoningPerformance,99,2021-07-12 10:08:29.242404
reasoningPerformance,100,2021-07-12 10:08:29.343125
reasoningPerformance,106,2021-07-12 10:08:29.445421
reasoningPerformance,95,2021-07-12 10:08:29.540647
reasoningPerformance,106,2021-07-12 10:08:29.648234
reasoningPerformance,92,2021-07-12 10:08:29.740533
reasoningPerformance,102,2021-07-12 10:08:29.840820
reasoningPerformance,104,2021-07-12 10:08:29.945353
reasoningPerformance,96,2021-07-12 10:08:30.042340
reasoningPerformance,102,2021-07-12 10:08:30.144009
reasoningPerformance,98,2021-07-12 10:08:30.243480
reasoningPerformance,98,2021-07-12 10:08:30.342833
reasoningPerformance,109,2021-07-12 10:08:30.456486
reasoningPerformance,84,2021-07-12 10:08:30.542399
reasoningPerformance,103,2021-07-12 10:08:30.642067
reasoningPerformance,98,2021-07-12 10:08:30.743820
reasoningPerformance,99,2021-07-12 10:08:30.845809
reasoningPerformance,99,2021-07-12 10:08:30.943334
reasoningPerformance,101,2021-07-12 10:08:31.043244
reasoningPerformance,100,2021-07-12 10:08:31.142255
reasoningPerformance,98,2021-07-12 10:08:31.241541
reasoningPerformance,98,2021-07-12 10:08:31.342453
reasoningPerformance,104,2021-07-12 10:08:31.445433
reasoningPerformance,112,2021-07-12 10:08:31.557023
reasoningPerformance,85,2021-07-12 10:08:31.641224
reasoningPerformance,98,2021-07-12 10:08:31.738040
reasoningPerformance,102,2021-07-12 10:08:31.841696
reasoningPerformance,102,2021-07-12 10:08:31.943836
reasoningPerformance,96,2021-07-12 10:08:32.040850
reasoningPerformance,99,2021-07-12 10:08:32.142231
reasoningPerformance,103,2021-07-12 10:08:32.244996
reasoningPerformance,104,2021-07-12 10:08:32.352029
reasoningPerformance,92,2021-07-12 10:08:32.442228
reasoningPerformance,99,2021-07-12 10:08:32.540762
reasoningPerformance,99,2021-07-12 10:08:32.637643
reasoningPerformance,106,2021-07-12 10:08:32.744763
reasoningPerformance,95,2021-07-12 10:08:32.839318
reasoningPerformance,105,2021-07-12 10:08:32.944712
reasoningPerformance,94,2021-07-12 10:08:33.037116
reasoningPerformance,99,2021-07-12 10:08:33.135544
reasoningPerformance,107,2021-07-12 10:08:33.246363
reasoningPerformance,92,2021-07-12 10:08:33.341260
reasoningPerformance,104,2021-07-12 10:08:33.442685
reasoningPerformance,97,2021-07-12 10:08:33.542254
reasoningPerformance,98,2021-07-12 10:08:33.640308
reasoningPerformance,110,2021-07-12 10:08:33.751450
reasoningPerformance,95,2021-07-12 10:08:33.852636
reasoningPerformance,93,2021-07-12 10:08:33.940286
reasoningPerformance,99,2021-07-12 10:08:34.044729
reasoningPerformance,104,2021-07-12 10:08:34.148100
reasoningPerformance,95,2021-07-12 10:08:34.241331
reasoningPerformance,107,2021-07-12 10:08:34.350999
reasoningPerformance,191,2021-07-12 10:08:34.541431
reasoningPerformance,104,2021-07-12 10:08:34.647172
reasoningPerformance,94,2021-07-12 10:08:34.742462
reasoningPerformance,98,2021-07-12 10:08:34.841637
reasoningPerformance,97,2021-07-12 10:08:34.938028
reasoningPerformance,99,2021-07-12 10:08:35.036782
reasoningPerformance,102,2021-07-12 10:08:35.140596
reasoningPerformance,98,2021-07-12 10:08:35.236667
reasoningPerformance,100,2021-07-12 10:08:35.340813
reasoningPerformance,103,2021-07-12 10:08:35.442226
reasoningPerformance,102,2021-07-12 10:08:35.543615
reasoningPerformance,97,2021-07-12 10:08:35.641663
reasoningPerformance,97,2021-07-12 10:08:35.741166
reasoningPerformance,102,2021-07-12 10:08:35.841400
reasoningPerformance,97,2021-07-12 10:08:35.939758
reasoningPerformance,99,2021-07-12 10:08:36.039084
reasoningPerformance,103,2021-07-12 10:08:36.142714
reasoningPerformance,98,2021-07-12 10:08:36.239884
reasoningPerformance,99,2021-07-12 10:08:36.340092
reasoningPerformance,104,2021-07-12 10:08:36.446940
reasoningPerformance,95,2021-07-12 10:08:36.537514
reasoningPerformance,106,2021-07-12 10:08:36.644419
reasoningPerformance,96,2021-07-12 10:08:36.739038
reasoningPerformance,100,2021-07-12 10:08:36.839778
reasoningPerformance,97,2021-07-12 10:08:36.940397
reasoningPerformance,99,2021-07-12 10:08:37.036460
reasoningPerformance,102,2021-07-12 10:08:37.138755
reasoningPerformance,98,2021-07-12 10:08:37.237157
reasoningPerformance,106,2021-07-12 10:08:37.343602
reasoningPerformance,107,2021-07-12 10:08:37.453624
reasoningPerformance,89,2021-07-12 10:08:37.540411
reasoningPerformance,98,2021-07-12 10:08:37.640494
reasoningPerformance,102,2021-07-12 10:08:37.741026
reasoningPerformance,96,2021-07-12 10:08:37.836644
reasoningPerformance,101,2021-07-12 10:08:37.937525
reasoningPerformance,102,2021-07-12 10:08:38.039212
reasoningPerformance,101,2021-07-12 10:08:38.142381
reasoningPerformance,99,2021-07-12 10:08:38.239583
reasoningPerformance,105,2021-07-12 10:08:38.350062
reasoningPerformance,92,2021-07-12 10:08:38.439830
reasoningPerformance,98,2021-07-12 10:08:38.537665
reasoningPerformance,100,2021-07-12 10:08:38.638392
reasoningPerformance,110,2021-07-12 10:08:38.754185
reasoningPerformance,90,2021-07-12 10:08:38.840875
reasoningPerformance,105,2021-07-12 10:08:38.945592
reasoningPerformance,95,2021-07-12 10:08:39.040340
reasoningPerformance,114,2021-07-12 10:08:39.156079
reasoningPerformance,187,2021-07-12 10:08:39.344076
reasoningPerformance,146,2021-07-12 10:08:39.491028
reasoningPerformance,49,2021-07-12 10:08:39.540596
reasoningPerformance,100,2021-07-12 10:08:39.641473
reasoningPerformance,95,2021-07-12 10:08:39.736969
reasoningPerformance,106,2021-07-12 10:08:39.845107
reasoningPerformance,96,2021-07-12 10:08:39.941879
reasoningPerformance,114,2021-07-12 10:08:40.058792
reasoningPerformance,83,2021-07-12 10:08:40.140633
reasoningPerformance,106,2021-07-12 10:08:40.247780
reasoningPerformance,94,2021-07-12 10:08:40.342522
reasoningPerformance,96,2021-07-12 10:08:40.439980
reasoningPerformance,94,2021-07-12 10:08:40.535745
reasoningPerformance,104,2021-07-12 10:08:40.641353
reasoningPerformance,101,2021-07-12 10:08:40.740103
reasoningPerformance,99,2021-07-12 10:08:40.838876
reasoningPerformance,100,2021-07-12 10:08:40.940003
reasoningPerformance,100,2021-07-12 10:08:41.041100
reasoningPerformance,99,2021-07-12 10:08:41.140701
reasoningPerformance,200,2021-07-12 10:08:41.344100
reasoningPerformance,99,2021-07-12 10:08:41.446156
reasoningPerformance,98,2021-07-12 10:08:41.540864
reasoningPerformance,103,2021-07-12 10:08:41.646949
reasoningPerformance,95,2021-07-12 10:08:41.745695
reasoningPerformance,103,2021-07-12 10:08:41.844979
reasoningPerformance,103,2021-07-12 10:08:41.947745
reasoningPerformance,195,2021-07-12 10:08:42.141634
reasoningPerformance,96,2021-07-12 10:08:42.241240
reasoningPerformance,106,2021-07-12 10:08:42.344322
reasoningPerformance,96,2021-07-12 10:08:42.440466
reasoningPerformance,102,2021-07-12 10:08:42.542080
reasoningPerformance,102,2021-07-12 10:08:42.645421
reasoningPerformance,98,2021-07-12 10:08:42.743550
reasoningPerformance,98,2021-07-12 10:08:42.841647
reasoningPerformance,96,2021-07-12 10:08:42.939115
reasoningPerformance,105,2021-07-12 10:08:43.042980
reasoningPerformance,97,2021-07-12 10:08:43.140579
reasoningPerformance,98,2021-07-12 10:08:43.238189
reasoningPerformance,99,2021-07-12 10:08:43.336604
reasoningPerformance,106,2021-07-12 10:08:43.446072
reasoningPerformance,96,2021-07-12 10:08:43.541230
reasoningPerformance,101,2021-07-12 10:08:43.648463
reasoningPerformance,108,2021-07-12 10:08:43.750630
reasoningPerformance,94,2021-07-12 10:08:43.844304
reasoningPerformance,92,2021-07-12 10:08:43.939365
reasoningPerformance,99,2021-07-12 10:08:44.038660
reasoningPerformance,100,2021-07-12 10:08:44.144790
reasoningPerformance,104,2021-07-12 10:08:44.241601
reasoningPerformance,98,2021-07-12 10:08:44.339537
reasoningPerformance,101,2021-07-12 10:08:44.442665
reasoningPerformance,100,2021-07-12 10:08:44.542329
reasoningPerformance,103,2021-07-12 10:08:44.645002
reasoningPerformance,98,2021-07-12 10:08:44.743040
reasoningPerformance,104,2021-07-12 10:08:44.846054
reasoningPerformance,94,2021-07-12 10:08:44.942210
reasoningPerformance,101,2021-07-12 10:08:45.045118
reasoningPerformance,99,2021-07-12 10:08:45.147178
reasoningPerformance,95,2021-07-12 10:08:45.242060
reasoningPerformance,103,2021-07-12 10:08:45.346168
reasoningPerformance,96,2021-07-12 10:08:45.440666
reasoningPerformance,104,2021-07-12 10:08:45.544976
reasoningPerformance,94,2021-07-12 10:08:45.637979
reasoningPerformance,105,2021-07-12 10:08:45.742718
reasoningPerformance,96,2021-07-12 10:08:45.839708
reasoningPerformance,101,2021-07-12 10:08:45.940772
reasoningPerformance,99,2021-07-12 10:08:46.042189
reasoningPerformance,99,2021-07-12 10:08:46.140610
reasoningPerformance,103,2021-07-12 10:08:46.246740
reasoningPerformance,96,2021-07-12 10:08:46.345285
reasoningPerformance,99,2021-07-12 10:08:46.444089
reasoningPerformance,102,2021-07-12 10:08:46.551257
reasoningPerformance,96,2021-07-12 10:08:46.644500
reasoningPerformance,98,2021-07-12 10:08:46.738710
reasoningPerformance,101,2021-07-12 10:08:46.840367
reasoningPerformance,101,2021-07-12 10:08:46.940798
reasoningPerformance,98,2021-07-12 10:08:47.039673
reasoningPerformance,98,2021-07-12 10:08:47.139700
reasoningPerformance,225,2021-07-12 10:08:47.365661
reasoningPerformance,82,2021-07-12 10:08:47.447006
reasoningPerformance,92,2021-07-12 10:08:47.538641
reasoningPerformance,113,2021-07-12 10:08:47.652776
reasoningPerformance,90,2021-07-12 10:08:47.743138
reasoningPerformance,96,2021-07-12 10:08:47.839987
reasoningPerformance,99,2021-07-12 10:08:47.938390
reasoningPerformance,116,2021-07-12 10:08:48.060969
reasoningPerformance,84,2021-07-12 10:08:48.141073
reasoningPerformance,97,2021-07-12 10:08:48.240330
reasoningPerformance,99,2021-07-12 10:08:48.338284
reasoningPerformance,98,2021-07-12 10:08:48.436857
reasoningPerformance,108,2021-07-12 10:08:48.555222
reasoningPerformance,97,2021-07-12 10:08:48.644537
reasoningPerformance,122,2021-07-12 10:08:48.764741
reasoningPerformance,77,2021-07-12 10:08:48.846005
reasoningPerformance,94,2021-07-12 10:08:48.939477
reasoningPerformance,108,2021-07-12 10:08:49.047008
reasoningPerformance,97,2021-07-12 10:08:49.148649
reasoningPerformance,104,2021-07-12 10:08:49.246275
reasoningPerformance,95,2021-07-12 10:08:49.345120
reasoningPerformance,95,2021-07-12 10:08:49.437314
reasoningPerformance,102,2021-07-12 10:08:49.539882
reasoningPerformance,98,2021-07-12 10:08:49.637940
reasoningPerformance,100,2021-07-12 10:08:49.739124
reasoningPerformance,103,2021-07-12 10:08:49.842912
reasoningPerformance,95,2021-07-12 10:08:49.937479
reasoningPerformance,100,2021-07-12 10:08:50.043909
reasoningPerformance,97,2021-07-12 10:08:50.142916
reasoningPerformance,100,2021-07-12 10:08:50.239044
reasoningPerformance,101,2021-07-12 10:08:50.343933
reasoningPerformance,99,2021-07-12 10:08:50.446468
reasoningPerformance,95,2021-07-12 10:08:50.539830
reasoningPerformance,101,2021-07-12 10:08:50.644261
reasoningPerformance,114,2021-07-12 10:08:50.754897
reasoningPerformance,84,2021-07-12 10:08:50.838544
reasoningPerformance,108,2021-07-12 10:08:50.948552
reasoningPerformance,93,2021-07-12 10:08:51.040737
reasoningPerformance,98,2021-07-12 10:08:51.138367
reasoningPerformance,100,2021-07-12 10:08:51.238551
reasoningPerformance,105,2021-07-12 10:08:51.343033
reasoningPerformance,95,2021-07-12 10:08:51.439769
reasoningPerformance,99,2021-07-12 10:08:51.539864
reasoningPerformance,101,2021-07-12 10:08:51.644336
reasoningPerformance,98,2021-07-12 10:08:51.740618
reasoningPerformance,100,2021-07-12 10:08:51.839759
reasoningPerformance,103,2021-07-12 10:08:51.947883
reasoningPerformance,94,2021-07-12 10:08:52.043614
reasoningPerformance,99,2021-07-12 10:08:52.139431
reasoningPerformance,105,2021-07-12 10:08:52.242670
reasoningPerformance,100,2021-07-12 10:08:52.342560
reasoningPerformance,109,2021-07-12 10:08:52.451391
reasoningPerformance,91,2021-07-12 10:08:52.545650
reasoningPerformance,98,2021-07-12 10:08:52.641758
reasoningPerformance,103,2021-07-12 10:08:52.743188
reasoningPerformance,97,2021-07-12 10:08:52.843493
reasoningPerformance,98,2021-07-12 10:08:52.939270
reasoningPerformance,101,2021-07-12 10:08:53.040827
reasoningPerformance,100,2021-07-12 10:08:53.141621
reasoningPerformance,98,2021-07-12 10:08:53.239867
reasoningPerformance,102,2021-07-12 10:08:53.341648
reasoningPerformance,98,2021-07-12 10:08:53.439267
reasoningPerformance,101,2021-07-12 10:08:53.548683
reasoningPerformance,90,2021-07-12 10:08:53.639353
reasoningPerformance,99,2021-07-12 10:08:53.736933
