,reasoningCycle,perceive,buf,checkMail,selectEvent,relevantPlans,applicablePlans,selectOption,applyFindOp,selectAction,applyExecInt,deliberate,sense,act
1,1296961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2212,1282730,4754
2,1340333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2287,1298914,4855
3,1640734,93944,175398,525,-1,-1,-1,-1,-1,-1,-1,4154,1570696,5909
4,5025554,818419,1371184,5633,519,24283,139110,936,-1,-1,738765,206691,3554817,760187
5,5054661,823976,1383472,5662,519,24283,139110,936,-1,-1,746514,206761,3572846,768209
6,5090115,831138,1401084,5709,561,24836,139110,936,-1,-1,749272,209209,3597818,771241
7,5112250,836209,1412354,5750,603,25563,139110,936,-1,-1,749397,210354,3614357,771832
8,5135789,842896,1424628,5780,603,25563,139110,936,-1,-1,750329,210424,3633532,772941
9,5196996,849899,1441568,5811,21804,29525,141232,1008,-1,-1,754118,239218,3657648,776983
10,5224661,856689,1456818,5842,21804,29525,141232,1008,-1,-1,755865,239287,3679863,779334
11,5266959,865834,1473851,5873,21849,33353,141746,1079,-1,-1,760646,245622,3706226,784376
12,5378857,872158,1486820,5906,21849,33353,141746,1079,-1,-1,822361,245692,3725701,869801
13,5450128,880984,1531673,5956,21849,33353,141746,1079,-1,58,824018,245759,3779634,872459
14,1683427,104362,205833,597,-1,-1,-1,-1,-1,-1,-1,4222,1611830,6025
15,5496087,888050,1554253,5987,21892,36552,142195,1149,-1,58,830425,251039,3809480,879140
16,5525708,897052,1567646,6018,21892,36552,142195,1149,-1,58,830923,251110,3832073,882450
17,5575815,904268,1603350,6060,21892,36552,142195,1149,-1,81,832306,251178,3875240,884353
18,5624378,909216,1622388,6091,21936,39640,142637,1218,-1,81,846351,257038,3899456,898659
19,5661513,922038,1638619,6140,21936,39640,142637,1218,-1,81,846857,257106,3928710,902028
20,5708101,929868,1670333,6174,21936,39640,142637,1218,-1,105,848249,257266,3968435,903950
21,5760860,937874,1698116,6243,21980,45367,143641,1290,-1,105,852558,265629,4004447,908516
22,5798239,944911,1711960,6595,21980,45367,143641,1290,-1,105,853079,265798,4025838,911987
23,5881050,951311,1777308,7040,21980,45367,143641,1290,-1,129,854467,267619,4098176,913911
24,5928767,959728,1798619,7083,22023,48469,144137,1361,-1,129,858963,274133,4128115,918673
25,1706487,112622,218739,656,-1,-1,-1,-1,-1,-1,-1,4298,1633223,6137
26,5958442,966632,1811942,7115,22063,50170,144591,1361,-1,129,859441,276604,4148520,922256
27,6026974,976307,1863803,7149,22063,50170,144591,1361,-1,152,860935,276672,4210246,924549
28,6099443,1000999,1894972,7218,22106,53274,144979,1407,-1,152,863257,285928,4266327,927579
29,6138727,1009649,1910395,7273,22106,53274,144979,1407,-1,152,870969,285998,4290603,935567
30,6181346,1017776,1923628,7318,22149,53847,144979,1407,-1,152,873900,299384,4312162,938779
31,6212297,1024694,1940337,7396,22197,54440,144979,1407,-1,152,875079,300417,4336024,940142
32,6274436,1040967,1956583,7429,22241,57442,157150,1573,-1,152,880795,317290,4368872,946119
33,6309961,1050970,1972929,7474,22241,57442,157150,1573,-1,152,881084,317359,4395416,949490
34,6342920,1057821,1990242,7510,22241,57442,157150,1573,-1,177,883845,317715,4419775,954021
35,6405116,1070327,2033941,7565,22241,57442,157150,1573,-1,177,884931,317787,4476194,955287
36,1734999,119644,233964,685,-1,-1,-1,-1,-1,-1,-1,4371,1655660,6247
37,6450656,1077902,2048692,7596,22285,60049,167885,1649,-1,177,888526,332548,4498771,959143
38,6477489,1085284,2062095,7905,22285,60049,167885,1649,-1,177,889693,332655,4520281,960531
39,6556994,1090633,2084848,7968,22329,62040,206385,1723,-1,177,893587,374498,4548603,964684
40,6589637,1096904,2098959,8015,22329,62040,206385,1723,-1,177,894806,374571,4569180,966085
41,6632993,1106198,2115663,8048,22375,65679,207961,1794,-1,177,898928,381134,4595374,970463
42,6661637,1112011,2128911,8098,22375,65679,207961,1794,-1,177,900217,381205,4614640,971938
43,6754387,1135328,2148099,8274,47579,73483,209876,1863,-1,177,904686,418063,4657469,976667
44,6789301,1145374,2163549,8305,47579,73483,209876,1863,-1,177,905287,418132,4683146,981305
45,6841877,1155854,2195384,8393,47579,73483,209876,1863,-1,197,909097,418200,4725794,985629
46,6894590,1167657,2215245,8426,47624,77197,210330,1932,-1,197,913926,423987,4757642,990718
47,1753428,125734,244138,715,-1,-1,-1,-1,-1,-1,-1,4531,1672111,6359
48,6931770,1177228,2230165,8473,47624,77197,210330,1932,-1,197,914428,424056,4782332,996012
49,6982332,1187988,2260817,8531,47624,77197,210330,1932,-1,218,916217,424127,4823970,999546
50,7048612,1198622,2290978,8591,47669,81128,212462,1981,-1,218,917783,432057,4865639,1001815
51,7084145,1206218,2307144,8624,47669,81128,212462,1981,-1,218,923883,432128,4889585,1008192
52,7116054,1212554,2323813,8655,47715,81670,212462,1981,-1,218,926195,433905,4912772,1010771
53,7141645,1219791,2336923,8687,47757,82206,212462,1981,-1,218,926319,434843,4933306,1011354
54,7169988,1226836,2349970,8730,47757,82206,212462,1981,-1,218,927252,434913,4953593,1012466
55,7203371,1233873,2363220,8775,47800,84369,213912,2058,-1,218,930752,440065,4974079,1016223
56,7228630,1241450,2375393,8807,47800,84369,213912,2058,-1,218,931973,440136,4994017,1017625
57,7273648,1253154,2390092,8870,47843,87830,214561,2129,-1,218,938333,445812,5020638,1024255
58,1776556,133531,257456,762,-1,-1,-1,-1,-1,-1,-1,4603,1693435,6469
59,7314002,1264911,2411485,8900,47843,87830,214561,2129,-1,218,938838,445882,5053973,1027535
60,7376341,1275032,2450266,9008,47843,87830,214561,2129,-1,242,940238,445955,5103139,1029681
61,7434560,1295569,2473543,9039,47885,91303,215008,2198,-1,242,944765,451579,5147134,1034473
62,7492958,1305551,2489866,9107,47926,93020,215693,2198,-1,242,945259,454514,5173670,1058185
63,7543140,1313408,2523258,9147,47926,93020,215693,2198,-1,265,946630,454583,5215109,1060077
64,7618648,1332165,2565158,9174,47980,96217,216140,2267,-1,265,951606,459837,5275946,1065315
65,7653065,1340227,2581247,9238,47980,96217,216140,2267,-1,265,952117,459909,5300333,1068820
66,7695614,1347748,2607841,9277,47980,96217,216140,2267,-1,319,954040,459977,5334640,1072369
67,7733036,1353582,2625252,9309,48023,99554,216597,2336,-1,319,958359,465445,5358065,1076947
68,7793535,1362566,2645699,9368,48023,99554,216597,2336,-1,319,959078,466479,5387709,1101713
69,1798686,140514,270738,810,-1,-1,-1,-1,-1,-1,-1,4675,1713903,6580
