,reasoningCycle,perceive,buf,checkMail,selectEvent,relevantPlans,applicablePlans,selectOption,applyFindOp,selectAction,applyExecInt,deliberate,sense,act
1,383,71,1,32,-1,-1,-1,-1,-1,-1,-1,-1,329,-1
2,78094,197,25714,43,-1,-1,-1,-1,-1,-1,332,2755,26225,49042
3,184892,345,28179,98,10397,2064,80261,145,-1,16,5036,101034,29090,54629
4,2054604,1860,42842,473,20277,10268,263672,348,-1,39,1540077,410514,47747,1595481
5,2057208,1878,42842,479,20277,10268,263672,348,-1,39,1540629,412435,47806,1596094
6,2059331,1897,42843,485,20277,10268,263672,348,-1,39,1540629,414453,47865,1596130
7,2061520,1915,42844,491,20277,10268,263672,348,-1,39,1540629,416557,47922,1596146
8,2065244,1960,44390,496,20277,10268,263672,348,-1,39,1540672,418528,49552,1596261
9,2075453,1968,44390,498,21229,10462,270302,348,-1,40,1540990,428310,49573,1596662
10,2076705,1982,44391,503,21229,10462,270302,348,-1,40,1541237,429204,49616,1596967
11,2096254,1997,44392,507,21241,10814,286960,368,-1,40,1541517,448370,49658,1597300
12,2098242,2016,44393,514,21241,10814,286960,368,-1,40,1542102,449632,49720,1597952
13,2100531,2036,44393,520,21241,10814,286960,368,-1,40,1542102,451811,49781,1597988
14,185741,354,28179,100,10397,2064,80261,145,-1,16,5416,101445,29114,55040
15,2102692,2054,44393,526,21241,10814,286960,368,-1,40,1542102,453890,49837,1598004
16,2107122,2128,46294,534,21241,10814,286960,368,-1,40,1542192,456059,51867,1598224
17,2137615,2158,46295,538,23066,11338,311768,368,-1,43,1542957,485498,51925,1599212
18,2139866,2167,46295,540,23066,11338,311768,368,-1,43,1543088,487563,51950,1599368
19,2167949,2181,46296,544,23081,11709,337792,397,-1,43,1543385,515246,51991,1599720
20,2169484,2199,46297,550,23081,11709,337792,397,-1,43,1543668,516395,52047,1600036
21,2171675,2217,46298,556,23081,11709,337792,397,-1,43,1543668,518480,52108,1600071
22,2173931,2242,46299,566,23081,11709,337792,397,-1,43,1543668,520626,52191,1600086
23,186790,370,28180,104,10409,2227,80261,145,-1,16,5781,102021,29159,55461
24,188047,386,28181,108,10409,2227,80261,145,-1,16,6190,102754,29206,55931
25,467200,395,28182,110,10409,2227,80261,145,-1,16,284580,103453,29230,334357
26,468334,410,28183,114,10409,2227,80261,145,-1,16,285237,103823,29273,335071
27,471227,426,28184,119,10409,2227,80261,145,-1,16,287417,104420,29320,337312
28,472391,441,28185,124,10409,2227,80261,145,-1,16,287822,105082,29363,337762
29,479407,455,28186,128,10420,2668,85495,157,-1,16,288115,111664,29402,338149
30,480996,472,28186,133,10420,2668,85495,157,-1,16,288924,112329,29448,339018
31,83609,238,28173,46,-1,-1,-1,-1,-1,16,2346,3236,28749,51542
32,482033,488,28187,137,10420,2668,85495,157,-1,16,289171,113019,29492,339312
33,491558,498,28187,140,10426,2846,93873,167,-1,16,289307,122355,29515,339474
34,494300,516,28188,145,10426,2846,93873,167,-1,16,291523,122753,29569,341753
35,495141,534,28188,152,10426,2846,93873,167,-1,16,291523,123497,29629,341783
36,496086,553,28188,158,10426,2846,93873,167,-1,16,291523,124343,29687,341811
37,499216,598,30063,164,10426,2846,93873,167,-1,16,291608,125284,31646,342029
38,509376,608,30063,166,11195,3121,101723,167,-1,18,291908,135026,31670,342418
39,510213,625,30063,171,11195,3121,101723,167,-1,18,292196,135473,31717,342753
40,518021,634,30063,173,11204,3372,108130,177,-1,18,292341,143078,31741,342927
41,518882,646,30063,183,11204,3372,108130,177,-1,18,292682,143515,31783,343303
42,92971,253,28174,51,3411,523,3991,54,-1,16,2732,12087,28796,51997
43,519529,666,30064,190,11204,3372,108130,177,-1,18,292682,144055,31844,343339
44,520536,686,30064,196,11204,3372,108130,177,-1,18,292682,144976,31906,343354
45,523544,720,31761,201,11204,3372,108130,177,-1,18,292783,145980,33671,343583
46,547599,735,31761,205,13155,3819,127915,177,-1,21,293444,169146,33713,344422
47,548889,749,31761,209,13155,3819,127915,177,-1,21,293688,170094,33757,344711
48,564010,764,31761,213,13167,4180,141125,195,-1,21,293998,184803,33799,345073
49,565578,781,31761,219,13167,4180,141125,195,-1,21,294523,185718,33854,345660
50,566649,799,31762,225,13167,4180,141125,195,-1,21,294523,186684,33912,345698
51,567696,818,31762,231,13167,4180,141125,195,-1,21,294523,187653,33973,345706
52,570383,856,32994,236,13167,4180,141125,195,-1,21,294627,188773,35280,345957
53,172772,267,28175,56,10367,1302,74663,75,-1,16,3141,91367,28839,52468
54,575041,871,32994,240,13178,4606,143511,195,-1,24,295132,192695,35323,346641
55,576228,881,32994,242,13178,4606,143511,195,-1,24,295286,193670,35349,346822
56,589601,895,32994,246,13190,4953,155375,216,-1,24,295578,206648,35391,347168
57,591307,913,32995,252,13190,4953,155375,216,-1,24,296100,207700,35449,347755
58,592530,932,32996,258,13190,4953,155375,216,-1,24,296100,208818,35509,347791
59,593833,949,32997,264,13190,4953,155375,216,-1,24,296100,210046,35565,347801
60,596908,992,34644,269,13190,4953,155375,216,-1,24,296163,211203,37291,347984
61,606506,1000,34645,270,13902,5190,162616,216,-1,26,296333,220518,37313,348241
62,607225,1008,34645,272,13902,5190,162616,216,-1,26,296467,221051,37335,348400
63,609219,1018,34645,275,13910,5396,163343,227,-1,26,296729,222699,37363,348713
64,173621,275,28176,58,10367,1302,74663,75,-1,16,3428,91873,28861,52786
65,610196,1031,34645,278,13910,5396,163343,227,-1,26,296928,223366,37402,348976
66,612120,1059,35230,281,13910,5396,163343,227,-1,26,297007,224425,38035,349199
67,613507,1067,35230,283,13916,5740,163578,227,-1,27,297093,225629,38056,349358
68,614362,1080,35230,287,13916,5740,163578,227,-1,27,297311,226183,38093,349615
69,618201,1094,35231,291,13927,6026,165594,246,-1,27,297475,229757,38134,349829
70,620853,1141,36364,296,13927,6026,165594,246,-1,27,297549,230966,39349,350047
