,reasoningCycle,perceive,buf,checkMail,selectEvent,relevantPlans,applicablePlans,selectOption,applyFindOp,selectAction,applyExecInt,deliberate,sense,act
1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1692,37,1,20,-1,-1,-1,-1,-1,-1,-1,25,188,17
3,116546,314,3306,78,2886,1349,39391,40,-1,18,3973,44480,4083,5203
4,117479,388,3306,83,2886,1349,39391,40,-1,18,4036,44564,4130,5444
5,121505,388,4164,89,2893,1629,41099,40,-1,22,4371,46605,5060,5904
6,122366,388,4165,95,2893,1629,41099,40,-1,22,4612,46618,5120,6197
7,132283,388,4166,100,2902,1932,49595,55,-1,22,4817,55609,5169,6447
8,133089,388,4166,104,2902,1932,49595,55,-1,22,5096,55621,5207,6754
9,133850,388,4167,111,2902,1932,49595,55,-1,22,5096,55634,5268,6785
10,134646,388,4168,118,2902,1932,49595,55,-1,22,5096,55659,5328,6802
11,136428,445,4168,123,2902,1932,49595,55,-1,22,5154,55726,5376,6966
12,153983,445,5153,127,4077,2277,63582,55,-1,24,5424,71312,6446,7375
13,59848,314,2,24,-1,-1,-1,-1,-1,-1,262,239,257,850
14,154741,520,5154,133,4077,2277,63582,55,-1,24,5614,71322,6505,7592
15,156356,532,5154,137,4082,2581,64142,63,-1,24,5802,72343,6542,7821
16,157129,557,5155,146,4082,2581,64142,63,-1,24,6067,72365,6616,8137
17,158058,492,5155,149,4082,2581,64142,63,-1,24,6110,72371,6652,8270
18,160424,603,6035,152,4089,2776,64325,63,-1,26,6224,72815,7597,8480
19,161118,614,6035,155,4089,2776,64325,63,-1,26,6356,72822,7632,8631
20,162873,625,6036,158,4095,2911,65310,71,-1,26,6435,74072,7667,8734
21,163615,561,6036,163,4095,2911,65310,71,-1,26,6524,74105,7731,8951
22,166838,561,6729,166,4100,3052,66391,71,-1,29,6990,75373,8500,9517
23,168075,743,6729,175,4112,3223,66391,71,-1,29,7179,75655,8590,9815
24,97767,314,3306,30,2875,979,29728,-1,-1,-1,262,34087,3743,881
25,169758,759,6729,181,4112,3223,66391,71,-1,29,7371,75682,8649,10076
26,170861,770,6730,185,4112,3223,66391,71,-1,29,7584,75689,8693,10310
27,172327,781,6730,189,4118,3459,66701,105,-1,29,7845,76399,8729,10596
28,172985,791,6731,192,4118,3459,66701,105,-1,29,8009,76410,8764,10779
29,176283,806,6732,198,4127,3802,68644,116,-1,29,8188,78968,8818,11001
30,178020,822,6733,204,4127,3802,68644,116,-1,29,8927,78989,8872,11806
31,179410,831,6733,207,4133,3915,68644,116,-1,29,9074,79167,8907,11980
32,180369,860,6734,228,4133,3915,68644,116,-1,29,9387,79189,9015,12343
33,100713,314,3306,37,2875,979,29728,-1,-1,18,2101,34101,3811,3201
34,101596,314,3306,43,2875,979,29728,-1,-1,18,2442,34110,3859,3571
35,112818,314,3306,49,2886,1349,39391,40,-1,18,2900,44445,3911,4064
36,114289,314,3306,53,2886,1349,39391,40,-1,18,3973,44458,3948,5167
37,114949,314,3306,57,2886,1349,39391,40,-1,18,3973,44465,3987,5186
38,115831,314,3306,73,2886,1349,39391,40,-1,18,3973,44474,4044,5196
